Time Stamp,Location,Weight,Biomass,Comment
01.05.2025 17:07,O18L08,0.0482,3,"1 ZOPH SUBC, 2 COMP FULV, 3 TETR ANGU"
01.05.2025 17:06,O18L09,0.0079,1,1 COMP FULV
01.05.2025 17:14,O18L02,0.0025,1,1 OCYM BARB
01.05.2025 17:12,O18L04,0.0332,2,"1 Matebele, 1 ZOPH SUBC"
01.05.2025 17:10,O18L06,0.2308,4,"1 EURY SPP., 1 CAMP MUCU"
01.05.2025 17:08,O18L07,0.0059,5,5 TETR SOLI
01.05.2025 17:11,O18L05,0.0635,10,"1 ZOPH SUBC, 1 COMP MYST, 6 TETR SOLI"
01.05.2025 17:05,O18L10,0.0015,1,1 TETR SOLI
01.05.2025 15:40,J13L03,0,0,
01.05.2025 15:33,J13L09,0.0697,6,"2 ZOPH SUBC, 4 TETR SOLI"
01.05.2025 15:34,J13L08,0,0,
01.05.2025 15:35,J13L07,0.1314,7,7 COMP FULV
01.05.2025 15:36,J13L06,0.021,3,3 COMP FULV
01.05.2025 17:15,O18L01,0,0,
01.05.2025 15:37,J13L05,0.0682,5,1 ZOPH ARCA 1. TETR ANGU 3. ZOPH SUBC 1
01.05.2025 15:42,J13L01,0,0,
01.05.2025 15:38,J13L04,0.0072,5,"1 COMP FULV, 4 TETR SOLI"
01.05.2025 15:32,J13L10,0.0226,4,"1 ZOPH SUBC, 2 TETR ANGU"
01.05.2025 15:41,J13L02,0,0,
01.05.2025 13:32,L15L04,0.0243,1,1 ZOPH SUBC
01.05.2025 13:37,L15L02,0.1766,5,"2 ZOPH SUBC, 1 TETR SOLI, 2 OCYM SPP."
01.05.2025 12:28,L17L02,0,0,
01.05.2025 13:34,L15L05,0,0,
01.05.2025 13:29,L15L10,0.0396,4,"1 ZOPH ARCA, 1 HISP SPP."
01.05.2025 13:39,L15L01,0.001,1,1 TETR SOLI
01.05.2025 12:19,L17L10,0.0304,3,"1 ZOPH SUBC, 1 COMP MYST, 1 TETR GRAN"
01.05.2025 12:21,L17L08,0,0,
01.05.2025 12:22,L17L07,0.2854,2,"1 ZOPH SUBC, 1 EURY SPP."
01.05.2025 12:25,L17L04,0.0021,7,"1 HISP SPP, 6 TETR SOLI"
01.05.2025 12:23,L17L06,0.1054,3,3 ZOPH SUBC
01.05.2025 12:26,L17L03,0.0507,5,"2 TETR SOLI, 1 TETR ANGU, 1 ZOPH SUBC, 1 SOLIF"
01.05.2025 12:24,L17L05,0.0017,1,1 Hist SPP.
01.05.2025 12:20,L17L09,0.0118,3,"1 TETR ANGU, 1 TETR SOLI, Matebele"
01.05.2025 12:29,L17L01,0.0021,2,"1 HISP SPP., 1 ANOP STEIN"
01.05.2025 11:38,J13L07,0.1422,2,2 GRAP AMAB
01.05.2025 11:41,J13L04,0.0126,10,10 TETR SOLI
01.05.2025 11:35,J13L10,0.0016,1,1 MONO ESHA
01.05.2025 11:36,J13L09,0.012,12,12 TETR SOLI
01.05.2025 11:43,J13L02,0,0,
01.05.2025 11:44,J13L01,0.0011,1,1 HOPPER
01.05.2025 11:40,J13L05,0.0028,3,3 ANOP STEI
01.05.2025 11:37,J13L08,0,0,
01.05.2025 11:42,J13L03,0.038,1,1 JUVENILE PARABUTHUS
01.05.2025 11:39,J13L06,0.0018,1,1 ANOP STEI
02.05.2025 09:42,L15L02,0,0,
02.05.2025 08:40,L17L01,0,0,
02.05.2025 08:39,L17L02,0.0034,1,1 HISP SPP.
02.05.2025 08:38,L17L03,0.0026,2,2 ANOP STEI
02.05.2025 09:36,L15L08,0.0543,2,WEEVIL
02.05.2025 09:34,L15L10,0.2508,2,"1 WEEVIL, 1 ANULARIS"
02.05.2025 09:38,L15L06,0.0538,1,WEEVIL
02.05.2025 08:35,L17L06,0,0,
02.05.2025 08:32,L17L09,0.0385,2,1 METACATHARSIUS PUMILLIONIS
02.05.2025 08:37,L17L04,0.0015,3,OCYM BARB 2. ANOP STEI 1
02.05.2025 09:37,L15L07,0,0,
02.05.2025 07:07,J15L05,0.0009,1,1 SCAR
02.05.2025 08:36,L17L05,0.0267,3,
02.05.2025 08:31,L17L10,0.0045,1,
02.05.2025 08:34,L17L07,0.0024,1,1 ANOP STEI
02.05.2025 08:33,L17L08,0.0463,1,
02.05.2025 07:00,J15L10,0,0,
02.05.2025 07:05,J15L06,0.0065,2,"1 ZOPH SUBC, 1 ANOP STEI"
02.05.2025 07:02,J15L09,0.0254,1,1 ZOPH SUBC
02.05.2025 07:08,J15L04,0,0,
02.05.2025 07:04,J15L07,0.0219,1,
02.05.2025 07:12,J15L01,0.0256,1,
02.05.2025 07:03,J15L08,0,0,
02.05.2025 07:10,J15L03,0,0,
01.05.2025 15:05,J15L06,0.1016,5,4 ZOPH SUBC
01.05.2025 15:08,J15L04,0.001,1,1 ANOP STEI
01.05.2025 15:11,J15L01,0,0,
01.05.2025 15:03,J15L07,0.0421,5,Hist spp: 1. ZOPH SUBC 1. ANOP STEI 2. 
01.05.2025 15:00,J15L10,0.0879,3,"1 HIST SPP., 1 ZOPH SUBC, 1 SCAR INOB"
01.05.2025 15:02,J15L08,0.0124,1,1 ZOPH SUBC
01.05.2025 15:06,J15L05,0.0674,1,1 STIPS
01.05.2025 15:01,J15L09,0.0085,1,1 SCAR INOB
01.05.2025 15:09,J15L03,0.983,1,1 GONO TOBI
01.05.2025 15:10,J15L02,0.0285,1,
