Time Stam,Location,Weight,Biomass,COMMENTS
18/8/25 15:05,J13L05,0.0108,3,"1 UNKNOWN SPIDER, 1 SCIO CURS, 1 ANOP STEI"
18/8/25 15:00,J13L10 D,0,0,
18/8/25 15:03,J13L07,0.0064,8,"6 PHEI TENU, 1 CAMP FULV, 1 ZOPH ACAR, "
18/8/25 15:08,J13L02 D,0.0036,2,"1 SCIO CURS, 1 PHEI TENU"
18/8/25 15:10,J13L01,0,0,
18/8/25 15:01,J13L09,0,0,
18/8/25 15:04,J13L06 D,0.0052,2,2 ZOPH ACAR
18/8/25 19:06,J13L04 D,0.0030,1,1 ZOPH ACAR
18/8/25 19:08,J13L03,0.0045,1,1 ZOPH ACAR
18/8/25 19:00,J13L10 D,0,0,
18/8/25 19:05,J13L05,0.0107,8,"6 TETR SOLI, 1 PHEI TENU, 1 SCIO CURS"
18/8/25 19:11,J13L01,0,0,
18/8/25 19:03,J13L07,0,0,
18/8/25 19:04,J13L06 D,0,0,
18/8/25 19:01,J13L09,0.0022,1,1 FROG HOPPER
18/8/25 19:10,J13L02 D,0,0,
18/8/25 19:02,J13L08 D,0,0,
18/8/25 13:14,L15L10 D,0,0,
18/8/25 13:22,L15L01,0.8290,2,"1 GONO SPP., 1 UNKNOWN BLACK, 1 SMALL AND SLENDER BEETLE"
18/8/25 13:16,L15L09,0.0028,2,2 TETR SOLI
18/8/25 13:23,L15L04 D,0.1522,4,"2 ZOPH SUBC, 2 OCYM BARB"
18/8/25 13:17,L15L08 D,0.0097,3,"2 TETR SOLI, 1 ZOPH SUBC"
18/8/25 13:20,L15L06 D,0,0,
18/8/25 13:19,L15L07,0.0050,4,4 TETR SOLI
18/8/25 13:24,L15L03,0.0429,4,"2 OCYM BARB, 1 ANOP STEI, 1 ZOPH SUBC"
18/8/25 13:21,L15L05,0.3989,13,"7 ZOPH SUBC, 1 CAMP FULV, 3 OCYM BARB, 1 SMALL AND SLENDER BEETLE, 1 SCIO CURS"
18/8/25 13:26,L15L02 D,0.0497,2,"1 ZOPH SUBC, 1 ANOP CUST"
18/8/25 12:17,O18L06 D,0.2267,11,"3 ZOPH SUBC, 8 TETR SOLI"
18/8/25 12:16,O18L07,0.0395,6,"1 ZOPH SUBC, 1 OCYM BARB, 1 TETR SERI, 3 TETR SOLI"
18/8/25 12:12,O18L10 D,0.0124,2,"1 TETR SOLI, I SCIO CURS"
18/8/25 12:15,O18L08 D,0,0,
18/8/25 12:19,O18L04 D,0.0072,1,1 UNKNOWN SPIDER
18/8/25 12:22,O18L02 D,0.0660,5,"2 TETR SOLI, 1 PHEI TENU, 1 CAMP FULV, 1 ZOPH SUBC"
18/8/25 12:18,O18L05,0,0,
18/8/25 12:21,O18L03,0.0034,5,5 TETR SOLI
18/8/25 12:13,O18L09,0,0,
18/8/25 12:23,O18L01,0.0539,12,"4 MEGA ANALI, 1 CAMP FULV, 1 UNKNOWN SPIDER, 1 OCYM BARB, 1 TETR PERI, 2 TETR SOLI, 1 LEPI CAPE, 1 PHEI TENU"
18/8/25 11:32,J15L07,0,0,
18/8/25 11:40,J15L01,0,0,
18/8/25 11:38,J15L02 D,0.0002,1,1 PHEI TENU
18/8/25 11:35,J15L05,0,0,
18/8/25 11:37,J15L03,0.0006,3,3 PHEI TENU
18/8/25 11:31,J15L08,0,0,
18/8/25 11:29,J15L10 D,0,0,
18/8/25 11:33,J15L06 D,0,0,
18/8/25 11:30,J15L09,0,0,
18/8/25 11:36,J15L04 D,0.0085,10,"1 CAMP FULV, 9 PHEI TENU"
18/8/25 12:47,L17L07,0,0,
18/8/25 12:43,L17L10 D,0.0050,2,"1 SMALL UNKNOWN SPIDER, 1 UNKNOWN SPIDER"
18/8/25 12:45,L17L09,0.0283,2,"1 SCIO CURS, 1 OCYM BARB"
18/8/25 12:49,L17L05,0.0035,3,"1 ZOPH ACAR, 1 PHEI TENU, 1 OCYM BARB"
18/8/25 12:46,L17L06 D,0.0423,3,"1 ZOPH SUBC, 1 UNKNOWN SMALL BEETLE, 1 TETR SERI"
18/8/25 12:50,L17L04 D,0.0122,16,"4 OCYM BARB, 2 TETR SOLI,  9 TETR SERI, 1 SCIO CURS"
18/8/25 12:55,L17L01,0.0021,10,"9 TETR SERI, 1 LYGAEDAE"
18/8/25 12:52,L17L03,0.0031,3,"1 TETR SOLI, 1 SCIO CURS, RHYPAROCHROMUS VULGARIS"
18/8/25 12:33,L17L02 D,0.0106,9,"1 UNKNOWN SPIDER, 2 LYGAEDAE, 1 TETR SERI, 3 TETR SOLI, 1 LEPI CAPE, 1 PHEI TENU"
18/8/25 12:46,L17L08 D,0,0,
18/8/25 16:42,L17L10 D,0,0,
18/8/25 16:51,L17L01,0.0004,1,1 TETR PERI
18/8/25 16:48,L17L06 D,0.0324,1,1 ZOPH SUBC
18/8/25 16:54,L17L01,0.0012,2,"1 SCIO CURS, 1 UNKNOWN HEMIPTERA"
18/8/25 16:46,L17L07,0.002,2,"1 TETR GRAN, 1 TETR PERI"
18/8/25 16:53,L17L02 D,0.0162,9,"3 OCYM BARB, 2 TETR SOLI, 2 SCIO CURS, 1 LEPI CAPE, 1 TETR PERI"
18/8/25 16:47,L17L05,0.0403,3,"1 SCIO CURS, 1 ZOPH SUBC, 1 OCYM BARB"
18/8/25 16:44,L17L08 D,0,0,
18/8/25 16:43,L17L09,0.0102,1,"1 MUTILLA RONISIA, "
18/8/25 16:52,L17L03,0.0091,3,"2 OCYM BARB, 1 SCIO CURS"
18/8/25 20:46,L17L07,0.0086,1,1 UNKNOWN SPIDER
18/8/25 20:51,L17L03,0,0,
18/8/25 20:45,L17L08 D,0,0,
18/8/25 20:47,L17L06,0,0,
18/8/25 20:50,L17L04 D,0,0,
18/8/25 20:53,L17L02 D,0,0,
18/8/25 20:44,L17L09,0,0,
18/8/25 20:43,L17L10 D,0.0098,1,1 CAMP MACU
18/8/25 20:48,L17L05,0.0002,1,1 TETR SOLI
18/8/25 20:54,L17L01,0,0,
19/8/25 07:40,J15L10,0,0,
19/8/25 07:45,J15L07,0,0,
19/8/25 07:52,J15L03,0.0045,1,1 CAMP MACU
19/8/25 07:53,J15L02 D,0.0003,7,7 SMALL ORANGE MITES
19/8/25 07:47,J15L06 D,0.0001,2,2 SMALL ORANGE MITES
19/8/25 07:44,J15L08 D,0,0,
19/8/25 07:42,J15L09,0,0,
19/8/25 07:48,J15L05,0.0477,1,1 STIPS SPP 1.
19/8/25 07:55,J15L01,0,0,
19/8/25 07:50,J15L04 D,0.0004,2,2 SMALL ORANGE MITES
18/8/25 11:12,J13L02 D,0,0,
18/8/25 11:11,J13L03,0,0,
18/8/25 11:08,J13L06 D,0,0,
18/8/25 11:05,J13L09,0,0,
18/8/25 11:03,J13L10 D,0,0,
18/8/25 11:09,J13L05,0.0021,2,"1 UNKNOWN SPIDER, 1 PHEI TENU"
18/8/25 11:05,J13L08 D,0,0,
18/8/25 11:13,J13L01,0,0,
18/8/25 11:07,J13L07,0.0018,3,3 PHEI TENU
18/8/25 11:10,J13L04 D,0.0003,3,"1 SMALL ORANGE MITE WITH LONG LEGS, 2 TETR SOLI"
18/8/25 21:22,L15L03,0.0034,1,1 CAMP MACU
18/8/25 21:18,L15L06 D,0,0,
18/8/25 21:15,L15L09,0.0067,1,1 SILVERFISH
18/8/25 21:26,L15L01,0,0,
18/8/25 21:17,L15L07,0,0,
18/8/25 21:25,L15L02 D,0,0,
18/8/25 21:13,L15L10 D,0.1210,1,1 UNKNOWN SPIDER
18/8/25 21:16,L15L08 D,0.0037,2,2 TETR SOLI
18/8/25 21:19,L15L05,0.0007,1,1 CHIN PALL
18/8/25 21:21,L15L04 D,0,0,
18/8/25 17:22,L15L02 D,0.0712,1,1 ZOPH SUBC
18/8/25 17:21,L15L03,0.0936,3,"2 ZOPH SUBC, 1 UNKNOWN HEMIPTERA SPP. 1"
18/8/25 17:14,L15L09,0.0072,1,MUTI RONI
18/8/25 17:13,L15L10 D,0.0031,1,1 UNKNOWN HEMIPTERA SPP. 1
18/8/25 17:16,L15L07,0.0012,3,"1 1 SMALL AND SLENDER BEETLE, 1 TETR SOLI, 1 WINGED-HEMIPTERA"
18/8/25 17:24,L15L01,0,0,
18/8/25 17:15,L15L08 D,0.0006,2,"1 LARVAE, 1 TETR SERI"
18/8/25 17:18,L15L06 D,0.0004,5,"1 OCYM BARB, 2 LEPI CAPE, 1 TETR SERI, 1 PSEUDOSCORPION"
18/8/25 17:19,L15L05,0.0018,4,"3 OCYM BARB, 1 UNKNOWN SPIDER"
18/8/25 17:20,L15L04 D,0.0005,5,"3 OCYM BARB, 1 1 SMALL AND SLENDER BEETLE, 1 PHEI TENU, "
