Time Stamp,Location,Weight,Biomass
18/3/25 17:04,J13L05,0.0324,9
18/3/25 17:06,J13L04,0.0013,1
18/3/25 17:07,J13L03,0.0143,3
18/3/25 17:09,J13L02,0.0058,2
18/3/25 17:10,J13L01,0.0075,2
18/3/25 17:32,J15L10,0.0771,1
18/3/25 17:33,J15L09,0,0
18/3/25 17:34,J15L08,0.0745,2
18/3/25 17:38,J15L07,0.0107,2
18/3/25 17:39,J15L06,0.0337,2
18/3/25 17:39,J15L05,0.0021,1
18/3/25 17:40,J15L04,0.0678,11
18/3/25 17:41,J15L03,0.0116,7
18/3/25 17:42,J15L02,0.037,3
18/3/25 17:43,J15L01,0.0187,14
18/3/25 19:00,L17L10,0.1327,8
18/3/25 19:01,L17L09,0.0708,12
18/3/25 19:02,L17L08,0.0989,4
18/3/25 19:04,L17L07,0.0387,8
18/3/25 19:06,L17L06,0,0
18/3/25 19:07,L17L05,0.0878,6
18/3/25 19:08,L17L04,0.0776,
18/3/25 19:10,L17L03,0.1248,4
18/3/25 19:11,L17L02,0,0
18/3/25 19:12,L17L01,0.1089,7
18/3/25 19:39,O18L10,0.0375,2
18/3/25 19:40,O18L09,0.1346,4
18/3/25 19:42,O18L08,0.0171,3
18/3/25 19:43,O18L07,0,0
18/3/25 19:45,O18L06,0.0143,9
18/3/25 19:46,O18L05,0.0032,3
18/3/25 19:47,O18L04,0,0
18/3/25 19:48,O18L03,0.261,5
18/3/25 19:50,O18L02,0.0707,5
18/3/25 19:51,O18L01,0,0
18/3/25 20:26,L15L10,0.0162,2
18/3/25 20:27,L15L09,0,0
18/3/25 20:28,L15L08,0.1901,9
18/3/25 20:29,L15L07,0,0
18/3/25 20:31,L15L06,0.0225,6
18/3/25 20:32,L15L05,0.0038,1
18/3/25 20:33,L15L04,0.0251,8
18/3/25 20:34,L15L03,0.0501,4
18/3/25 20:36,L15L02,0.0169,4
18/3/25 20:37,L15L01,0.0023,1
18/3/25 21:00,J13L10,0,0
18/3/25 21:01,J13L09,0.2775,1
18/3/25 21:02,J13L08,0.0442,3
18/3/25 21:03,J13L07,0.0087,1
18/3/25 21:05,J13L06,0.0125,1
18/3/25 21:12,J13L01,0.0157,2
18/3/25 21:06,J13L05,0.0141,5
18/3/25 21:08,J13L04,0.1066,3
18/3/25 21:10,J13L03,0.0201,2
18/3/25 21:11,J13L02,0,0
18/3/25 21:36,J15L10,0,0
18/3/25 21:37,J15L09,0,0
18/3/25 21:38,J15L08,0.0593,2
18/3/25 21:39,J15L07,0.0129,6
18/3/25 21:41,J15L06,0.0451,2
18/3/25 21:42,J15L05,0,0
18/3/25 21:43,J15L04,0.0237,4
18/3/25 21:45,J15L03,0.0184,8
18/3/25 21:46,J15L02,0.0255,17
18/3/25 21:47,J15L01,0.0052,5
19/3/25 07:00,L15L10,0.0781,2
19/3/25 07:01,L17L09,0.1135,20
19/3/25 07:03,L17L08,0.1812,2
19/3/25 07:04,L17L07,48.2217,27
19/3/25 07:06,L17L06,5.1921,3
19/3/25 07:07,L17L05,0.2601,4
19/3/25 07:10,L17L03,0.0126,2
19/3/25 07:12,L17L02,0.1094,1
19/3/25 07:13,L17L01,0.0414,1
19/3/25 07:55,O18L10,0.0114,1
19/3/25 07:56,O18L09,0,0
19/3/25 07:58,O18L08,0.0027,2
19/3/25 07:59,O18L07,0,0
19/3/25 08:01,O18L06,2.1564,7
19/3/25 08:02,O18L05,0,0
19/3/25 08:03,O18L04,0.0068,2
19/3/25 08:04,O18L03,0.0848,4
19/3/25 08:05,O18L02,0.0121,1
19/3/25 08:07,O18L01,0.00121,1
19/3/25 07:09,L17L04,0.0741,2
19/3/25 08:37,L15L09,0.0423,1
19/3/25 08:41,L15L06,0.0086,2
19/3/25 08:42,L15L05,0.0141,3
19/3/25 08:43,L15L04,0.0312,2
19/3/25 08:44,L15L03,0.0181,5
19/3/25 08:46,L15L02,0.0151,2
19/3/25 08:47,L15L01,0,0
19/3/25 09:05,J13L10,0.0428,2
19/3/25 09:06,J13L09,0.0901,4
19/3/25 09:08,J13L08,0.0197,1
19/3/25 09:09,J13L07,0,0
19/3/25 09:10,J13L06,0,0
19/3/25 09:11,J13L05,0,0
19/3/25 09:13,J13L04,0.0134,2
19/3/25 09:14,J13L03,0.0617,2
19/3/25 09:15,J13L02,0.0066,4
19/3/25 09:16,J13L01,0.0078,3
19/3/25 09:34,J15L10,0,0
19/3/25 09:35,J15L09,0.0678,3
19/3/25 08:36,L15L10,0.0191,1
19/3/25 09:37,J15L08,0.5831,10
19/3/25 08:38,L15L08,0.1531,16
19/3/25 09:38,J15L07,0.0687,5
19/3/25 09:39,J15L06,0,0
19/3/25 08:39,L15L07,0,0
19/3/25 09:41,J15L05,0,0
19/3/25 09:42,J15L04,0,0
19/3/25 09:45,J15L02,0,0
19/3/25 09:45,J15L03,0.0019,2
19/3/25 09:46,J15L01,0.0018,2
