Time Stamp,Location,Weight,Biomass,COMMENTS,
13/1/26 17:51,Q17L10D,0.1382,2,"1X GRAPH AMA, 1X ZO SUB",
13/1/26 17:52,Q17L09,0.038,2,"1X ZO SUB, 1X OCY BRB",
13/1/26 17:54,Q17L08D,0,0,,
13/1/26 17:55,Q17L07,0.3788,9,"7X ZO SUB, 1X GRAPH AMA",
13/1/26 17:56,Q17L06D,0.0195,3,"1X ZO KAL, 1X OCY BARB, 1X TETR SOLI",
13/1/26 17:57,Q17L05,0.2352,4,4X Z SUB,
13/1/26 17:59,Q17L04D,0.0283,1,1X GRAPH AMA,
13/1/26 18:00,Q17L03,0.0012,1,1X Z ARC,
13/1/26 18:01,Q17L02D,0.046,1,1X ZO SUB,
13/1/26 18:02,Q17L01,0.063,2,"1X Z ARC, 1X Z SUB",
13/1/26 18:39,K18L10D,0.0074,2,2X Z ARC,
13/1/26 18:40,K18L09,0.0242,5,"4X OCY BARB, 1X C FULV",
13/1/26 18:42,K18L08D,0.0148,6,"1X Z ARC, 4X OCY BARB, 1X GYN VELVET",
13/1/26 18:43,K18L07,0,0,,
13/1/26 18:44,K18L06D,0,0,,
13/1/26 18:45,K18L05,0,0,,
13/1/26 18:47,K18L04D,0.0152,3,"2X OCY BARB, 1X C FULV",
13/1/26 18:48,K18L03,0,0,,
13/1/26 18:49,K18L02D,0.0111,4,4X OCY BARB,
13/1/26 18:50,K18L01,0.2156,6,"4X OCY BARB, 1X ELEGANT, 1X Z KAL",
13/1/26 20:00,H15L10D,0,0,,
13/1/26 20:01,H15L09,0.0072,2,"1X OCY BARB, 1X SIOPELUS",
13/1/26 20:02,H15L08D,0.0048,2,"1X OCY BARB, 1X Z ARC",
13/1/26 20:03,H15L07,0.0114,2,2X Z ARC,
13/1/26 20:04,H15L06D,0,0,,
13/1/26 20:05,H15L05,0.0215,10,"8X OCY BARB, 1X C FULV, 1X Z ARC",
13/1/26 20:06,H15L04D,0,0,,
13/1/26 20:11,H15L03,0.0024,1,1X Z ARC,
13/1/26 20:12,H15L02D,0.0102,6,"4X OCY BARB, 2X Z ARC",
13/1/26 20:13,H15L01,0,0,,
13/1/26 20:24,D15L10D,0.0030,1,1X Z ARC,
13/1/26 20:25,D15L09,0,0,,
13/1/26 20:26,D15L08D,0,0,,
13/1/26 20:27,D15L07,0,0,,
13/1/26 20:28,D15L06D,0.0109,2,2X Z ARC,
13/1/26 20:29,D15L05,0.0385,1,Z SUB,
13/1/26 20:30,D15L04D,0,0,,
13/1/26 20:31,D15L03,0,0,,
13/1/26 20:32,D15L02D,0,0,,
13/1/26 20:33,D15L01,0.0395,9,"3X OCY BARB, 2X Z ARC, 2X TETRA SOLI, 1X LEP LARV, 1X P FIGUR",
13/1/26 21:12,P15L10D,0,0,,
13/1/26 21:13,P15L09,0.0059,3,3X OCY BARB,
13/1/26 21:14,P15L08D,0.2435,3,"1X OCY BARB, 1X PLANIO *LIZARD JUV",
13/1/26 21:16,P15L07,0.0124,7,"1X Z RC, 2X OCY BARB, 4X TETRA SOLI",
13/1/26 21:17,P15L06D,0,0,,
13/1/26 21:18,P15L05,0.0463,2,"1X SPIDER, 1X GRAPH MARG",
13/1/26 21:20,P15L04D,0,0,,
13/1/26 21:21,P15L03,0.0029,1,1X Z ARC,
13/1/26 21:22,P15L02D,0.0144,9,"2X ZO ARC, 1X *CAEDIUS, 1X TETRA SOLI, 5X CAMP NIVEO",
13/1/26 21:24,P15L01,0.0444,1,GRAPH AMA,
13/1/26 21:51,Q17L10D,0.115,2,"1X ZO KAL, 1X GRAPH AMA",
13/1/26 21:53,Q17L09,0.0942,5,"2X CAMP FULV, 2X ZO SUB, 1X ZO ARC",
13/1/26 21:54,Q17L08D,0.0964,2,"1X SPIDER, 1X Z SUB",
13/1/26 21:55,Q17L07,0.1673,7,"5X Z ARC, 1X Z SUB, 1X GRAPH AMA",
13/1/26 21:56,Q17L06D,0.005,1,1X Z SUB,
13/1/26 21:57,Q17L05,0.0644,3,"1X Z SUB, 1X Z ARC, 1X METAC",
13/1/26 21:58,Q17L04D,0.0212,1,1X Z KAL,
13/1/26 21:59,Q17L03,0.0384,2,"1X C FULV, 1X Z SUB",
13/1/26 22:00,Q17L02D,0.0344,2,"1X ZO ARC, 1X GRAPH MARG",
13/1/26 22:01,Q17L01,0,0,,
13/1/26 22:36,K18L10D,0,0,,
13/1/26 22:37,K18L09,0,0,,
13/1/26 22:38,K18L08D,0.0081,4,"3X OCY BARB, 1X Z ARC",
13/1/26 22:42,K18L07,0,0,,
13/1/26 22:45,K18L06D,0.0016,6,"3X ANOP STEIN, 3X TETRA SERVI",
13/1/26 22:46,K18L05,0,0,,
13/1/26 22:47,K18L04D,0,0,,
13/1/26 22:48,K18L03,0,0,,
13/1/26 22:49,K18L02D,0.0142,8,"3X OCY BARB, 5X TETRA SOLI",
13/1/26 22:50,K18L01,0,0,,
14/1/26 07:00,H15L10D,0.019,3,"1X C MAC. 1X Z RC, 1X CAED",
14/1/26 07:02,H15L09,2.7095,3,"2X KHEP LARM, 1X METACATH",
14/1/26 07:03,H15L08D,3.5912,1,1X O. WAHL,
14/1/26 07:04,H15L07,0,0,,
14/1/26 07:06,H15L06D,0.078,1,1X NEIGRYLLUS,
14/1/26 07:08,H15L05,0.0117,1,1X OPANIINI,
14/1/26 07:09,H15L04D,0,0,,
14/1/26 07:11,H15L03,0.022,1,1X C MAC,
14/1/26 07:12,H15L02D,0.0509,4,"3X OCY BARB, 1X C MAC",
14/1/26 07:13,H15L01,4.1307,1,1X O. WAHL,
14/1/26 07:35,D15L10D,0.013,1,1X CTENO LAT,
14/1/26 07:36,D15L09,0.035,2,"1X CAED, 1X BOEO EP",
14/1/26 07:37,D15L08D,0,0,,
14/1/26 07:39,D15L07,0,0,,
14/1/26 07:41,D15L06D,0.0201,2,2X CAEDI,
14/1/26 07:42,D15L05,1.0592,3,"1X P. KAL, 1X CYPH ALST, 1X METACATH ANDER",
14/1/26 07:43,D15L04D,0.4423,5,"1X ESCARAB, 1X METACATH, 1X C MAC, 1X MELOTH, 1X LYGAED",
14/1/26 07:44,D15L03,0,0,,
14/1/26 07:46,D15L02D,0.0254,3,"1X OCY BARB, 1X PLATY FIG, 1X METAC ANDER",
14/1/26 07:47,D15L01,0.0536,7,"5X PLATY FIG, 1X BOEO CONF, 1X VELVET",
14/1/26 08:35,P15L10D,0.0703,1,1X GRAPH MARG,
14/1/26 08:36,P15L09,0.0150,2,"1X C. MAC, 1X BLOSS",
14/1/26 08:38,P15L08D,0.0672,30,"2X HERPISC,28X TETRA SOLID",
14/1/26 08:39,P15L07,0.039,20,"1X CAMP FULV,1X MEGA, 1X ZO ARC, 1X PHEDIO TENUI, 1X ANOP STEIN, 11X TETRA SOLI, 4X OCY BARB",
14/1/26 08:41,P15L06D,0.0295,1,1X SILVER,
14/1/26 08:42,P15L05,0,0,,
14/1/26 08:43,P15L04D,0.0832,7,"1X CAMP FULV, 2X MEGA ANA, 1X ZO SUB, 1X CAED, 1X LYCOS",
14/1/26 08:45,P15L03,0.0275,2,"1X BOEO EP, 1X ZO ARC",
14/1/26 08:46,P15L02D,0.0029,6,"3X ANOP STEIN, 3X TETRA SOLI",
14/1/26 08:48,P15L01,0.0358,1,1X SILVER,
14/1/26 09:24,Q17L10D,0.4266,9,"2X CAP FULV, 1X GRAPH AMA, 1X ZO ARC, 1X CAMP MAC, 1X CAEDIUS, 1X DASY MEROP, 1X SCARAB INOP, 1X METAC ANDER",
14/1/26 09:25,Q17L09,0.0381,1,1X *CYDRELA,
14/1/26 09:27,Q17L08D,0.012,3,"2X TETRA SOLID, 1X HARPALUS*",
14/1/26 09:28,Q17L07,0.049,4,"1X TENED, 2X C MAC, 1X GRAPH AMA ",
14/1/26 09:30,Q17L06D,0.6438,11,"1X GRAPH AMA, 6X METACATH, 3X HERP GRAC, 1X DIPT",
14/1/26 09:31,Q17L05,0.1359,5,"1X GRAPH AMA, 4X CAMP FULV",
14/1/26 09:33,Q17L04D,0.0204,4,"3X TETRA SOLI, 1X GRAPH MARG",
14/1/26 09:35,Q17L03,0,0,,
14/1/26 09:36,Q17L02D,0.076,1,1X GRAPH AMA,
14/1/26 09:38,Q17L01,0.089,3,"1X C FULV, 1X C MAC, 1X Z ARC",
14/1/26 10:20,K18L10D,0.0156,12,"3X OCY BARB, 2X PHEDIO TEN, 7X TETR SOLI",
14/1/26 10:22,K18L09,0,0,,
14/1/26 10:24,K18L08D,0.0366,6,"2X C FULV, 2X HERP GRAC, 1X UNK SPIDER, 1X CRICKET NYMPH",
14/1/26 10:25,K18L07,0.1133,5,"1X SOLPUGE, 3X PHEDIO TEN, 1X MYLOTHINAE",
14/1/26 10:27,K18L06D,0.0156,5,"1X CAED, 1X C FULV, 3X ANOP STEIN",
14/1/26 10:28,K18L05,0,0,,
14/1/26 10:29,K18L04D,0.0246,5,"1X C MAC, 3X OCY BARB, 1X Z ARC",
14/1/26 10:30,K18L03,0.0741,6,"1X Z ARC, 1X HERP GRAC, 2X BOEO EP, 1X OCY BARB, 1X C FULV",
14/1/26 10:32,K18L02D,0.1060,24,"4X OCY BARB, 1X COMICUS, 19X TETRA SOLI",
14/1/26 10:33,K18L01,0.0535,10,"2X OCY BARB, 2X HERP GRAC, 4X TETR SOLI, 1X Z KAL, 1X HIRRUSIA",
