Time Stamp,Location,Weight,Biomass,COMMENTS,,
11/11/25 21:12,D15L07,0.1007,15,"1X IBALA OKO, 1X CADIUS, 1X HEMIP, 1 BOEO ATRATUS *CONFU, 9X GRANDI, 1X CREMATO PERING, 1X CAMP NIVEOSETOSUS",,
12/11/25 09:40,D15L07,0,0,,,
11/11/25 17:04,D15L07,0.0278,2,"1X TETRA SOLI, 1X ZOO KAL",,
11/11/25 13:05,D15L07,0.0012,1,1X ODON,,
11/11/25 17:03,D15L08 D,0.0515,9,"2x OCY BARB, 6X TETRA SOLI, 1x ZOO KAL",,
12/11/25 09:38,D15L08 D,0.0656,25,"1X BOEO* ATR, 24X TETRA SOLI",,
11/11/25 21:10,D15L08 D,0.0193,20,20X TETRA SOLI,,
11/11/25 13:03,D15L08 D,0.0120,2,"1X IBALA *OKO, 1X TETRA SOLI",,
11/11/25 21:09,D15L09,0.0756,3,"1X CAMP MAC, 2X CADIUS",,
11/11/25 17:02,D15L09,0.0117,2,"1X TECHNO PALL, 1X IBALA OKO",,
11/11/25 13:03,D15L09,0,0,,,
11/11/25 17:01,D15L10 D,0.0064,3,"2x OCY BARB, 1X GNAPH*",,
12/11/25 09:34,D15L10 D,0.0768,4,"1X SCARABEO PARV, 1X IBALA OKO, 1X LYCOSID, 1X BOEO CO",,
11/11/25 21:08,D15L10 D,0.0369,4,"1X IBALA OKO, 1X ZOO KAL, 2X TETRA SOLI",,
11/11/25 13:02,D15L10 D,0.0257,5,"1X IBALA BILEAN, 1X *IBALA, 3X OCY BARB",,
12/11/25 10:24,H15L01,0.2261,2,"1X HARPILINI, 1X CAMP CINCTELLUS",,
11/11/25 13:28,H15L01,0,0,,,
11/11/25 21:40,H15L01,0,0,,,
11/11/25 21:39,H15L01,0.0288,1,1X ZOO SUB,,
11/11/25 13:27,H15L02 D,0.0131,1,1X ACRID NYMPH,,
11/11/25 17:27,H15L02 D,0.0475,1,1X ZOO KALA,,
12/11/25 10:21,H15L02 D,0.0169,1,1X LYCOSID,,
11/11/25 21:37,H15L02 D,0.0197,2,"1X HEMIP, 1X GNAPH",,
12/11/25 10:19,H15L03,0.0154,1,1X AGELENIDAE *BENOITIA,,
11/11/25 13:25,H15L03,0.0060,1,1X CARABID LARVA,,
11/11/25 17:26,H15L03,0.058,1,1X ZOO SUBC,,
11/11/25 21:36,H15L03,0.0044,1,1X HEMIP *LYGAEIDAE,,
11/11/25 13:24,H15L04 D,0,0,,,
11/11/25 21:35,H15L04 D,0.0014,2,"1X OCY BARB, 1X TETRA SOLI",,
11/11/25 17:25,H15L04 D,0.006,1,1X OCY BARB,,
12/11/25 10:16,H15L04 D,0.006,3,"2X MESSOR CAP, 1X HEMIP NYMPH",,
11/11/25 13:23,H15L05,0,0,,,
11/11/25 17:24,H15L05,0.0506,4,"1x ZOO KAL, 1X PENT, 1X FLYANT* SAME AS ABOVE",,
11/11/25 21:34,H15L05,0.0404,2,"1X META DENT, 1X FLYANT",,
12/11/25 10:14,H15L05,0.025,3,"2X CAMP MAC, 1X GRYLLID NYMPH",,
12/11/25 10:12,H15L06 D,0,0,,,
11/11/25 21:33,H15L06 D,0,0,,,
11/11/25 17:22,H15L06 D,0.0154,1,1X ASEM LIN,,
11/11/25 13:21,H15L06 D,0.0487,1,1X LEPI LARVA,,
11/11/25 13:20,H15L07,0,0,,,
12/11/25 10:10,H15L07,0,0,,,
11/11/25 17:21,H15L07,0.0038,1,1x ZOO ARCANA,,
11/11/25 21:31,H15L07,0.0063,1,1x ZOO ARCANA,,
11/11/25 17:20,H15L08 D,0,0,,,
11/11/25 13:19,H15L08 D,0,0,,,
11/11/25 21:30,H15L08 D,0,0,,,
12/11/25 10:07,H15L08 D,2.7299,6,"1X KHEPER LAMARCKI, 1X ZOO KALA, 1X PENT, 2X FLYING ANTS, 1X HISTER/TENED",,
12/11/25 10:05,H15L09,0.0119,1,1X SALTICID,,
11/11/25 21:29,H15L09,0.0713,7,"1X COMICUS CALA, 6X TETRA SOLID",,
11/11/25 17:18,H15L09,0.1246,2,"1XSTIPS, 1X ZOO KAL",,
11/11/25 13:18,H15L09,0.0044,1,1X OCY BARB,,
11/11/25 13:17,H15L10 D,0,0,,,
12/11/25 10:03,H15L10 D,0.0301,3,"1X IBALA OKO, 1X SCARABAEOL PARVULUS, 1X CADIUS",,
11/11/25 21:28,H15L10 D,0.0016,1,1X CAMP NIVEO,,
11/11/25 17:17,H15L10 D,0.0027,1,1X CMP NIVEO,,
11/11/25 20:37,K18L01,0.0006,2,2X TETRA SERVI,,
11/11/25 16:34,K18L01,0.0009,2,"1X TETRA SOLI, 1X CAMP NIVEO",,
11/11/25 12:33,K18L01,0.0072,2,"1X ASEM LIN, 1X TETRA SOLI",,
12/11/25 09:05,K18L01,0.1075,10,"1X ZOO KAL, 1X CAMP MAC, 1X PENT, 1X BOEO EPP, 1X SPIDER, 2X TETRA SOLI",,
11/11/25 16:32,K18L02 D,0,0,,,
11/11/25 20:36,K18L02 D,0.0172,2,"1X CAMP MAC, 1X OCY BARB",,
11/11/25 12:31,K18L02 D,0.0057,1,1X IBALA,,
12/11/25 09:03,K18L02 D,0.103,4,"plus 1x OCY BARB only the head, 1X ASEMES, 2X BOEO, 1X METACATH",,
12/11/25 09:01,K18L03,1.316,6,"1X TOK ZOFI, 1XODO, 1X IBALA ARCUS*, 1X DIORES, 1X GYNANDROTILLA, 1X TETRA SOLID",,
11/11/25 20:34,K18L03,2.1578,9,"1X OCY BARB, 7X TETRA SOLI, 1x ODON",,
11/11/25 16:31,K18L03,0.0166,3,"1x OCY BARB, 2X ZOO ARCANA",,
11/11/25 12:30,K18L03,0.095,2,"1X ZOO ARCANA, 1X OCY BARB, 1X CAMP FULV",,
11/11/25 20:33,K18L04 D,0.0429,1,1X ZODARIID,,
11/11/25 16:30,K18L04 D,0.0810,2,"1X OCY BARB, 1X BLATTODEA *POOR CONDITION",,
11/11/25 12:29,K18L04 D,3.5948,2,"1X KHEPER LAMAR, 1X ZOO KAL",,
12/11/25 08:59,K18L04 D,25.8694,12,"1X SPIRO, 1X ATRA MUL, 1X ZOO KAL, 1X BLOSSIA, 5X TETRA SOLID, 2X VELVET MITE, 1X SPIRO IMM",,
12/11/25 08:57,K18L05,0.0567,6,"1X ZOO ARCANA, 1X BOEO CF. EPI, 4X TETRA SOLI",,
11/11/25 20:32,K18L05,0.0071,8,"1X OCY BARB, 1X GNAPH*POOR CONDITION, 6X TETRA SOLID",,
11/11/25 12:28,K18L05,0.0096,1,1X IBALA OKO,,
11/11/25 16:29,K18L05,0.1152,3,"2X ZOO KAL, 1X ZOO SUB",,
12/11/25 08:56,K18L06 D,0.659,8,"1X TOK ZOFI, 1X ZOO ARCANA, 1X IBALA, 4X TETRA SOLID, 1X MYRMILLINAE *NEW",,
11/11/25 12:27,K18L06 D,0.0947,2,"1X ZOO SUBC, 1X TETRA SOLID",,
11/11/25 20:31,K18L06 D,0.0263,2,2X SPIDERS,,
11/11/25 16:28,K18L06 D,0.0056,4,"2X OCY BARB, 1X TETRA PERING, 1X TECHNO PALL",,
12/11/25 08:54,K18L07,0.0043,5,5X TETRA SOLID,,
11/11/25 12:26,K18L07,0,0,,,
11/11/25 20:30,K18L07,0.1841,28,"1X IBALA BILEAN, 4X ZOO KAL, 23X TETRA SOLI",,
11/11/25 16:28,K18L07,0.0029,3,"2X TETRA SOLI, 1X OCY BARB ",,
11/11/25 12:24,K18L08 D,1.5998,6,"1X ODO, 1X IBALA OKO, 2X CAMP FULV, 1X ANTLION LARV, 1X ZOO KALA",,
11/11/25 20:29,K18L08 D,0.0125,3,"1X MEGA ANA, 1X PHEDIOL TENUI, 1X TETRA SOLID",,
11/11/25 16:27,K18L08 D,0.0445,4,"1X ACTRO*CARAB, 2X ZOO ARCANA, 1X PENT*SAME AS OTHERS",,
12/11/25 08:52,K18L08 D,0.0453,7,"3X CAMP FULV, 1X BLACK FLY ANT AS ABOVE, 2X TETRA SERVI, 1X MONOMO *ESHARRE","2X CAMP FULV, 1X MEGA ANA, 2X CAMP MAC, 1X ODO, 1X WEEVIL *SPART, 1X COCKRO, 5X TETRA SOLI, 1X IBALA* POOR",
12/11/25 08:56,K18L09,0.379,3,"1X ANTLION LARV, 1X CYPHOLOBA, 1X *HIRRIUSA",,
11/11/25 20:27,K18L09,0.0653,5,"1X PENT, 1X ZOO ARCANA, 1X ZOO KAL, 1X OCY BARB",,
11/11/25 12:23,K18L09,0.021,2,"1X IBALA *OKO, 1X GNAPH *CENTRAL LINE",,
11/11/25 16:27,K18L09,0.0347,5,"4X OCY BARB, 1X ZOO KAL",,
11/11/25 20:26,K18L10 D,11.0126,6,"2X HARPO MILLIP, 1X IBALA OKO, 1X OCY BARB, 2X HYMEN *NOT IN GOOD COND",,
11/11/2025  16:25:00 PM,K18L10 D,0.0146,6,6X OCY BARB,,
11/11/25 12:21,K18L10 D,0.0013,1,1X TETRA SOLI,,
12/11/25 08:47,K18L10 D,1.6489,13,"1X CAMP MAC escaped, 1X ODO, 1X SPIRO IMM, 1XZOO KAL, 1X CAMP MAC, 1X TEN LARV SMALL *CALAH, 6X *CAIDIUS, 1X OCY BARB, 1X TETRA SOLI",,
12/11/25 07:24,P15L01,0.3741,6,"2X HIMAT, 2X ODO JUV, 1X TETRA SOLID, 1X MEGA ANA",,
11/11/25 15:13,P15L01,0.0581,8,"1X CAMP FULV, 6X OCY BARB, 1X MONOMORIUM* POSSIBLY?",,
11/11/25 11:12,P15L01,1.5545,3,,,
11/11/25 19:07,P15L01,8.1677,4,"1X HAP * MILLI, 1X HISTER, 1X FLYING ANT * BLACK",,
11/11/25 11:11,P15L02 D,0,0,,,
11/11/25 15:12,P15L02 D,0.0371,2,"1X ZOO KAL, 1X TETRA SOLID",,
11/11/25 19:06,P15L02 D,0.0092,4,"1X ZOO ARCAN, 1X OCY BARB, 1X TETRA PERING, 1X TETRA SOLI",,
12/11/25 07:22,P15L02 D,1.6703,1,1X ANTH CINC,,
11/11/25 11:09,P15L03,0.0019,1,1X TETRA SOLI,,
11/11/25 15:11,P15L03,0.2224,3,"1X BELIDAE *WEEVIL, 1X IBALA, 1X TETRA SOLID",,
11/11/25 19:05,P15L03,0.0137,3,"1X ZOO ARCANA, 1X TETRA SOLI, 1X ASEMES *LINEA","3X TOK ZOF, 3X CAIDIUS, 1 X CAMP MAC",
12/11/25 07:19,P15L03,0.0534,4,4X CAMP MAC,,
12/11/25 07:17,P15L04 D,0.3909,4,"1X TOK ZOF, 1X GNAPHOS, 2X TETRA SERVI",,
11/11/25 15:09,P15L04 D,0.0168,7,"1X IBALA *, 1X CAMP NIVEO, 2X TETRA SOLI, 3X OCY BARB",,
11/11/25 19:04,P15L04 D,0.0025,2,"1X OCY BARB, 1X TETRA SERV",,
11/11/25 11:08,P15L04 D,30.0391,14,"1X CAMP FULV, 13X TETRA SILD",,
11/11/25 15:08,P15L05,0.0365,6,"5X OCY BARB, 1X ASILIDAE LARVA",,
11/11/25 11:07,P15L05,0,0,,,
11/11/25 19:02,P15L05,0.0795,20,"3X MEGA ANA, 2X TETRA SOLI, 15X OCY BARB",,
12/11/25 07:16,P15L05,0.0167,4,"1X SPIRO IMM, 2X TETRA SOLI, 1X OCY BARB",,
11/11/25 15:06,P15L06 D,0.0194,7,"1x OCY BARB, 2x ANOP STEIN, 1X PHIDIO TINEU, 2X CAMP NIV, 1X TETRA SOLI",,
11/11/25 19:02,P15L06 D,0.0303,16,16X ANOPOLEPIS STEIN,,
12/11/25 07:14,P15L06 D,0.0071,7,7X ANOPO,,
11/11/25 11:06,P15L06 D,2.4223,5,"3X TETRA SOLI, 1X ANTH CINC, 1X PASSILID FORT",,
11/11/25 11:05,P15L07,0,0,,,
11/11/25 15:05,P15L07,0.0465,4,"1X STIPS GIBIENI, 2X OCY BARB, 1X LEPIO CAP",,
11/11/25 19:01,P15L07,0.045,3,"1X ZOO* CHECK, 1X OCY BARB, 1X TETRA SOLID",,
12/11/25 07:12,P15L07,0.1461,5,"plus 2 flyants eaten by the spider, 1X AGELENID * BEN, 1X BOEO, 1X ANTLION, 1X COCKROACH, 1 TETRA SOLI",,
11/11/25 15:04,P15L08 D,0.0273,3,"1X IBALA, 1X TETRA SOLID, 1X CAMP MAC",,
12/11/25 07:10,P15L08 D,0.0254,12,"1X ODO JUV, 1X CTENOP *SUBAD, 10X TETRA SOLI",,
11/11/25 19:00,P15L08 D,1.0903,1,1X ANTH CINC,,
11/11/25 11:04,P15L08 D,1.4339,1,1X ANTHIA* CHECK SP,,
11/11/25 11:03,P15L09,0,0,,,
11/11/25 18:59,P15L09,0,0,,,
11/11/25 15:03,P15L09,0.0601,5,"2X CAMP FULV, 1X PCY BARB, 1X TETRA SOLI, 1X IBALA OKO",,
12/11/25 07:08,P15L09,38.64,4,"1X GNAPH, 1X CAMP MAC, 1X SPIRO, 1X HARP*MILLI",,
12/11/25 07:05,P15L10 D,0.038,1,1X DAESID *BLOSSIA,,
11/11/25 11:01,P15L10 D,0.0023,3,"2x TETRA SOLI, 1x IBALA OKO",,
11/11/25 15:02,P15L10 D,0.0081,2,"1X OCY BARB, 1XCAMP FULV",,
11/11/25 18:58,P15L10 D,0.0038,3,"2X OCY BARB, 1X TETRA SOLI",,
11/11/25 15:54,Q17L01,0.0211,4,"1X IBALA OKO, 1X CAMP FULV, 2X TETRE SERVIC",,
11/11/25 19:55,Q17L01,0.0012,1,1X TETRA SOLI,,
12/11/25 08:11,Q17L01,0.1985,10,"3X FLYANT, 1X ODO JUV, 3X CAMP MAC, 1X OCY BARB, 1X TETRA SOLI, 1X MERAN GLABER*",,
11/11/25 11:53,Q17L01,0.0495,2,"1X MEGA ANA, 1X CAMP FULV",,
11/11/25 11:52,Q17L02 D,0.0344,5,"1X MEGA ANA, 4X TETRA SOLID",,
11/11/25 15:52,Q17L02 D,0.1174,2,weight without head 0.0054,,
11/11/25 19:54,Q17L02 D,1.4339,1,1X ANTHIA* CHECK SP,,
12/11/25 08:08,Q17L02 D,2.6862,9,"2X ANTHIA CINC, 7X TETRA SOLI",,
12/11/25 08:05,Q17L03,0.0924,5,"1X TENED LARV, 1X CAMP FULV, 1X IBALA",,
11/11/25 15:51,Q17L03,0.0191,2,"1X CAMP FULV, 1X DIP*LARV",,
11/11/25 11:51,Q17L03,0.0168,1,1X CAMP FULV,,
11/11/25 19:50,Q17L04 D,1.8419,6,"1X ODO, 1X PHEDIOL TENUI, 4X TETRA SOLID",,
11/11/25 15:15,Q17L04 D,0.0023,3,"1X PHEDIO TENUI, 2X TETRA SOLI",,
12/11/25 08:03,Q17L04 D,0.0604,4,"1X RHADOP, 1X TEN LARV, 1X CAMP MAC, 1X FLY ANT *BROWN AS ABOVE",,
11/11/25 11:49,Q17L04 D,0.0322,1,FLYING TETRA SOLI,,
11/11/25 11:48,Q17L05,0,0,,,
11/11/25 19:49,Q17L05,0.0012,4,4x TETRA SIRVI,,
11/11/25 15:49,Q17L05,0.2583,7,"1X ZOO SUB, 1X UNKN BEETLE LARV, 1X HEMIP, 2X OCY BARB, 1X MEGA ANA, 1X PHEDIO TENUI",,
12/11/25 08:01,Q17L05,62.2743,11,"2X SPIRO, 1X GRYLLID, 1X CAMP MAC, 3X TETRA SOLI, 2X OCY BARB, 2X FLY ANTS AS ABOVE ","2X TETRA SOLI, HEAD ANTH CINC",
11/11/25 15:48,Q17L06 D,0,0,,,
11/11/25 19:47,Q17L06 D,0.0017,2,2X TETRA SERVI,,
12/11/25 08:00,Q17L06 D,0.0119,1,1X MEGA ANA,,
11/11/25 11:46,Q17L06 D,0.2121,NA,just the head,,
11/11/25 19:46,Q17L07,0.0034,1,1XHYMENOP,,
11/11/25 15:47,Q17L07,0.0036,3,"2X OCY BARB, 1X TETRA SOLID",,
11/11/25 11:45,Q17L07,1.437,2,2X ANTH CINC,,
12/11/25 07:58,Q17L07,6.414,9,"1X GRYLLID, 2X ODO, 2X ANTH CINC, 1X CAMP FULV",,
12/11/25 07:56,Q17L08 D,0.0297,2,"1X MEGA ANA, 1X CAMP FULV",,
11/11/25 15:46,Q17L08 D,0.0111,2,"1X TETRA SOLI, 1X TEN LARVA",,
11/11/25 11:43,Q17L08 D,0.9052,1,1X ANTH CINC ,,
11/11/25 19:44,Q17L08 D,1.4572,7,"1X ANTHIA CINC, 4X TETRA SOLI, 1X CAMP FULV, 1X MEGA ANA",,
11/11/25 19:43,Q17L09,0.0056,3,"1X ANOPOLEPIS, 2X TETRA SOLI",,
11/11/25 15:45,Q17L09,0.0005,1,1X TETRA SOLID,,
11/11/25 11:42,Q17L09,0.0407,4,"2x TETRA SOLI, 1x OCY BARB, 1x ZOO KAL",,
12/11/25 07:55,Q17L09,4.4831,9,"1X SPIRO, 1X TETRA SOLID, 1X HEMIP, 1X DIORES, 1X ASEMES LINE, 1X VELVET ANT* BROWN ONE, 2X ANTH CINC, 1X*BLATTIDAE",,
11/11/25 15:44,Q17L10 D,0.0204,3,"1X ZOO ARCANA, 1X OCY BARB, 1X CAMP FULV",,
11/11/25 19:42,Q17L10 D,0.0178,3,"1X CAMP ?, 1X CAMP MAC, 1X OCY BARB",,
11/11/25 11:41,Q17L10 D,1.7071,6,"1X ANTH CINC, 3X CAMP *SIMILAR TO WERTHI",,time not on the label
12/11/25 07:54,Q17L10 D,47.5626,7,"1X CAMP FULV, 1X ZOO ARCANA, 1X SPIRO, 3X ANTH CINC, 1X TETRA * POOR CONDITION",,
11/11/25 19:51,Q17L03,1.3061,16,Label eaten,,
12/11/25 09:37,D15L09,1.2577,7,Label eaten,,
