Time Stam;Location;Weight;Biomass;COMMENTS
6/10/25 16:13;Q17L10 D;0.0060;1;1 SCIO CURS
6/10/25 16:20;Q17L01;0.0173;5;1 CAMP FULV, 2 OCYM BARB, 1 UNKNOWN SMALL BLACK BEETLE, 1 UNKNOWN ANT
6/10/25 12:20;Q17L06 D;0.0912;21;3 MEGA ANALI, 18 TETR SOLI
6/10/25 12:21;Q17L05;0.1456;36;1 ZOPH SUBC, 8 MEGA ANALI, 1 CAMP FULV, 21 TETR SERI, 2 TETR SOLI, 2 PHEI TENU, 1 UNKNOWN TRUE BUG (GREY WITH BLACK MARKS)
6/10/25 12:22;Q17L04 D;0.0591;4;1 ZOPH SUBC, 2 MEGA ANALI, 1 TETR SOLI
6/10/25 12:23;Q17L03;0.0825;21;1 ZOPH ACAR, 4 CAMP FULV, 1 SCIO CURS, 5 TETR SOLI, 1 UNKNOWN TRUE BUG (GREY WITH BLACK MARKS), 2 TETR SERI, 6 PHEI TENU
6/10/25 12:24;Q17L01;0.1235;3;2 CAMP FULV, 1 GRAP ANDE, 1 TETR SOLI
6/10/25 12:18;Q17L08 D;0.0195;3;1 CAMP FULV, 2 TETR SOLI
6/10/25 12:17;Q17L10 D;0.0135;2;1 MEGA ANALI, 1 TETR SOLI
6/10/25 12:50;P15L02 D;0.0040;1;1 OCYM BARB
6/10/25 12:50;P15L03;0.0043;1;1 OCYM BARB
6/10/25 12:50;P15L04 D;0.0075;3;1 TETR SOLI, 2 OCYM BARB
6/10/25 12:52;P15L01;0.0136;4;1 SCIO CURS, 2 TETR SOLI, 1 PHEI TENU
6/10/25 12:17;P15L08 D;0;0;
6/10/25 12:45;P15L10 D;12.302;1;1 ANTH CINC
6/10/25 12:46;P15L09;0.0332;4;3 SCIO CURS, 1 CAMP FULV
6/10/25 12:49;P15L05;0.0154;7;1 CAMP FULV, 6 TETR SOLI
6/10/25 12:48;P15L06 D;0.0393;5;1 SCIO CURS, 3 PHEI TENU, 1 UNKNOWN TRUE BUG
6/10/25 12:48;P15L07;0.00174;5;1 SCIO CURS, 3 ANOP STEI, 1 SMALL SMALL SHINEY BEETLE
6/10/25 13:03;D15L04 D;0.0237;4;1 LYGAEIDAE, 2 SCIO CURS, 1 LARVAE
6/10/25 15:06;D15L01;0.0249;5;3 SCIO CURS, 2 OCYM BARB, 
6/10/25 15:03;D15L07;0.0011;1;1 TETR SOLI
6/10/25 15:03;D15L06 D;0.0077;1;1 SCIO CURS
6/10/25 15:03;D15L03;0.0327;3;1 LYGAEIDAE, 1 SCIO CURS, 1 UNKNOWN SPIDER
6/10/25 15:02;D15L08 D;0.0090;2;1 SCIO CURS, 1 OCYMB BARB
6/10/25 15:01;D15L09;0.0078;4;1 LYGAEIDAE, 2 OCYM BARB, 1 TETR SERI
6/10/25 15:05;D15L02 D;0.0180;3;2 SCIO CURS, 1 OCYMB BARB
6/10/25 15:00;D15L10 D;0.0099;2;1 SCIO CURS, 1 OCYMB BARB
6/10/25 15:04;D15L05;0;0;
7/10/25 7:16;H15L09;0;0;
7/10/25 7:18;H15L07;0;0;
7/10/25 7:20;H15L04 D;0.0026;1;1 UNKNOWN TRUE BUG
7/10/25 7:19;H15L05;0.0772;2;1 SOMATICUS SPP., 1 UNKNOWN TRUE BUG
7/10/25 7:18;H15L06 D;0;0;
7/10/25 7:22;H15L01;0;0;
7/10/25 7:21;H15L02 D;0;0;
7/10/25 7:17;H15L08 D;0;0;
7/10/25 7:20;H15L03;0.0013;1;1 UNKNOWN TRUE BUG
7/10/25 7:15;H15L10 D;0.0656;1;1 UNKNOWN BLACK SPIDER
7/10/25 8:01;K18L04 D;0;0;
7/10/25 8:03;K18L01;0;0;
7/10/25 8:02;K18L02 D;0;0;
7/10/25 8:02;K18L03;0.0196;1;1 UNKNOWN SPIDER
7/10/25 7:56;K18L09;0;0;
7/10/25 7:57;K18L08 D;0;0;
7/10/25 8:00;K18L05;0;0;
7/10/25 7:56;K18L10 D;0;0;
7/10/25 7:59;K18L06 D;0.0032;1;1 LARVAE
7/10/25 7:58;K18L07;0.0025;5;5 TETR SOLI
7/10/25 8:52;Q17L01;0.0147;2; MEGA ANALI, 1 CAMP MACU
7/10/25 8:48;Q17L04 D;0;0;
7/10/25 8:47;Q17L06 D;0;0;
7/10/25 8:49;Q17L03;0.0451;5;1 TETR SERI, 4 CAMP FULV
7/10/25 8:50;Q17L02 D;0.0009;1;1 TETR SERI
7/10/25 8:47;Q17L05;0.0012;1;1 TETR SOLI
7/10/25 8:44;Q17L10 D;0.0097;2;1 MEGA ANALI, 1 TETR SOLI
7/10/25 8:41;Q17L09;0.0185;1;1 SCAR PARV
7/10/25 8:46;Q17L07;0;0;
7/10/25 8:45;Q17L08 D;0.0073;4;3 TETR SOLI, 1 SCIO CURS
6/10/25 11:04;D15L05;0;0;
6/10/25 11:06;D15L02 D;0.0274;2;1 SCAR SPP., 1 SCIO CURS
6/10/25 11:01;D15L10 D;0;0;
6/10/25 11:03;D15L08 D;0.0028;7;6 TETR SOLI, 1 RHYP VULG
6/10/25 11:02;D15L09;0.0089;3;2 RHYP VULG, 1 SCIO CURS
6/10/25 11:03;D15L07;0.0011;6;6 TETR SOLI,
6/10/25 11:07;D15L01;0;0;
6/10/25 11:05;D15L04 D;0;0;
6/10/25 11:06;D15L03;0.0107;2;2 SCIO CURS
6/10/25 11:04;D15L06 D;0;0;
6/10/25 20:58;P15L03;0.0343;2;1 CAMP MACU, 1 RAPH
6/10/25 20:55;P15L07;0;0;
6/10/25 20:59;P15L01;0;0;
6/10/25 20:57;P15L04 D;0;0;
6/10/25 20:54;P15L08 D;0.0070;1;1 LARVAE
6/10/25 20:58;P15L02 D;0;0;
6/10/25 20:56;P15L06 D;0;0;
6/10/25 20:56;P15L05;0.0053;1;1 DOLI SYCO
6/10/25 20:53;P15L09;0.0239;2;1 EDOCLA SPP., 1 OCYM BARB
6/10/25 20:53;P15L10 D;0.2084;1;1 UNKNOWN WEEVIL
6/10/25 19:05;D15L01;0.0063;1;1 SCIO CURS
6/10/25 19:05;D15L02 D;0;0;
6/10/25 19:04;D15L04 D;0;0;
6/10/25 19:03;D15L05;0.0358;3;1 TETR SERI, 1 SCIO CURS, 1 ANT-LION
6/10/25 19:04;D15L03;0.0177;2;1 LARVAE, 1 SCIO CURS
6/10/25 19:01;D15L07;0.00101;2;1 SCIO CURS, I HIST
6/10/25 19:02;D15L06 D;0;0;
6/10/25 19:00;D15L09;0;0;
6/10/25 19:00;D15L08 D;0.0116;6;6 TETR SOLI
6/10/25 19:00;D15L10 D;0;0;
7/10/25 9:26;P15L05;0.0575;2;1 ANT-LION, 1 TETR SOLI
7/10/25 9:30;P15L01;0.0147;2;1 MEGA ANALI, 1 TETR SOLI
7/10/25 9:28;P15L03;0.0220;1;1 UNKNOWN SPIDER
7/10/25 9:23;P15L10 D;0.0249;1;1 ANT-LION
7/10/25 9:26;P15L06 D;0;0;
7/10/25 9:29;P15L02 D;0.0023;1;1 LARVAE
7/10/25 9:25;P15L07;0;0;
7/10/25 9:24;P15L09;0.0536;3;2 CAMP FULV, 1 MEGA ANALI
7/10/25 9:25;P15L08 D;0.0005;2;1 TETR SERI, 2 LEPI CAPE
7/10/25 9:27;P15L04 D;0.0088;2;1 TETR SERI, 1 LARVAE
6/10/25 16:44;P15L05;0.0209;3;3 SCIO CURS
6/10/25 16:43;P15L06 D;0.0099;2;1 LARVAE, 1 UNKNOWN TRUE BUG
6/10/25 16:44;P15L04 D;0.0064;1;1 SCIO CURS
6/10/25 16:40;P15L10 D;0.0427;1;1 ANT-LION
6/10/25 16:42;P15L08 D;0;0;
6/10/25 16:46;P15L01;0.0098;9;1 SCIO CURS, 4 TETR SOLI, 4 TETR SERI
6/10/25 16:45;P15L03;0.0285;3;2 SCIO CURS, 1 TETR SERI
6/10/25 16:45;P15L02 D;0.0098;2;1 SCIO CURS, 1 TETR SOLI
6/10/25 16:42;P15L07;0.0122;2;1 SCIO CURS, 1 UNKNOWN SPIDER
6/10/25 16:41;P15L09;0.0072;1;1 SCIO CURS
6/10/25 20:28;Q17L02 D;0.0034;6;6 TETR SOLI
6/10/25 20:24;Q17L07;0.0299;3;3 MEGA ANALI
6/10/25 20:28;Q17L01;0.0091;1;1 MEGA ANALI
6/10/25 20:26;Q17L04 D;0.0011;4;2 TETR SERI, 2 TETR SOLI
6/10/25 20:26;Q17L05;0.0002;2;2 TETR SERI
6/10/25 20:27;Q17L03;0.0453;5;4 CAMP FULV, 1 CAMP MACU
6/10/25 20:25;Q17L06 D;0.0020;5;5 TETR SOLI
6/10/25 20:23;Q17L09;0.0069;1;1 UNKNOWN SPIDER
6/10/25 20:23;Q17L08 D;0.0151;6;5 TETR SOLI, I UNKNOWN WEEVIL
6/10/25 20:22;Q17L10 D;0.0155;3;1 MEGA ANALI, 1 RHYP VULG, 1 SMALL SHINY BEETLE
6/10/25 19:20;H15L02 D;0;0;
6/10/25 19:19;H15L03;0.0002;1;1 UNKNOWN GROGHOPPER
6/10/25 19:18;H15L04 D;0.0031;2;1 LYGAEIDAE, 1 TETR SOLI
6/10/25 19:20;H15L01;0.1490;3;1 PSEUDO-SCORPION, 1 UNKNOWN TENEBRIONID, 1 SCIO CURS
6/10/25 19:18;H15L05;0.0105;2;1 LYGAEIDAE, 1 ZOPH ACAR
6/10/25 19:16;H15L07;0.0216;4;3 SCIO CURS, 1 ZOPH ACAR
6/10/25 19:15;H15L09;0.0144;3;1 LYGAEIDAE, 2 SCIO CURS
6/10/25 19:17;H15L06 D;0.0284;2;1 CAMP FULV, 1 ANT-LION
6/10/25 19:16;H15L08 D;0.0131;2;1 CAMP FULV, 1 LEPI CAPE
6/10/25 19:15;H15L10 D;0.002;1;1 OCYM BARB
6/10/25 15:17;H15L02 D;0.0019;1;1 UNKNOWN SPIDER
6/10/25 15:16;H15L03;0.0212;5;5 SCIO CURS
6/10/25 15:15;H15L04 D;0.00008;1;1 SCIO CURS
6/10/25 15:14;H15L06 D;0.0247;1;1 CAMP FULV
6/10/25 15:17;H15L01;0.0349;2;1 SCIO CURS, 1 UNKNOWN BEETLE
6/10/25 15:15;H15L05 ;0.0205;4;3 SCIO CURS, 1 LYGAEIDAE
6/10/25 15:13;H15L08 D;0.0066;2;1 OCYM BARB, 1 SCIO CURS
6/10/25 15:14;H15L07;0;0;
6/10/25 15:12;H15L09;0.0039;1;1 LYGAEIDAE
6/10/25 15:12;H15L10 D;0.0012;1;1 OCYM BARB
6/10/25 11:50;K18L01;0.0523;3;2 UNKNOWN SPIDERS (DIFF. SPP.), 1 ZOPH KALA
6/10/25 11:46;K18L07;0.0751;18;11 TETR SOLI, 2 SCIO CURS, 1 OCYM BARB, 4 CAMP FULV
6/10/25 11:47;K18L06 D;0.0202;2;1 TETR SOLI, 1 LARVAE
6/10/25 11:43;K18L10 D;0.0085;1;1 UNKNOWN SPIDER
6/10/25 11:45;K18L08 D;0.0095;1;1 CAMP FULV
6/10/25 11:44;K18L09;0.4172;1;1 UNKNOWN SOLIFUGE
6/10/25 11:50;K18L02 D;0.0230;20;9 TETR SOLI, 1 EDOCLA SPP., 10 TETR SERI
6/10/25 11:48;K18L05;0.0074;4;3 TETR SERI, 1 SCIO CURS
6/10/25 11:49;K18L04 D;0.0116;2;1 UNKNOWN SPIDER, 1 OCYM BARB
6/10/25 11:50;K18L03;0.0087;2;1 SCIO CURS, 1 TETR SOLI
6/10/25 19:50;K18L03;0.0006;1;1 TETR SOLI
6/10/25 19:46;K18L09;0.1017;8;2 ZOPH SUBC, 1 SCIO CURS, 5 TETR SERI
6/10/25 19:49;K18L05;0.0014;2;1 UNKNOWN SILVERFISH, 1 TETR SOLI
6/10/25 19:51;K18L01;0;0;
6/10/25 19:51;K18L02 D;0.0040;17;12 TETR SERI, 5 TETR SOLI
6/10/25 19:48;K18L06 D;0;0;
6/10/25 19:50;K18L04 D;0.0030;2;2 TETR SOLI
6/10/25 19:47;K18L08 D;0.0537;2;1 ZOPH SUBC, 1 SCIO CURS
6/10/25 19:46;K18L10 D;0.0269;2;1 ZOPH SUBC, 1 CAMP MACU
6/10/25 19:48;K18L07;0.0206;13;12 TETR SERI, 1 CAMP MACU
