Time Stamp,Location,Weight,Biomass,COMMENTS,Number Release
16/9/25 12:59,J15L08D,0,0,,
16/9/25 13:00,J15L07,0,0,,
16/9/25 13:01,J15L06D,0.003,1,LARVAE-TENE-,1
16/9/25 13:02,J15L05,0.0001,1,SCARAB-LARVA,
16/9/25 13:04,J15L04D,0.0337,5,"1X ANTLION, 1X TETERA/WEEVIL",1X TENE LARVAE
16/9/25 13:05,J15L03,0,0,,
16/9/25 13:06,J15L02D,0,0,,
16/9/25 13:07,J15L01,0,0,,
16/9/25 13:24,J13L10D,0,0,,
16/9/25 13:25,J13L09,0,0,,
16/9/25 13:26,J13L08D,0,0,,
16/9/25 13:27,J13L07,0.0614,3,SAME AS O18L03,3
16/9/25 13:29,J13L06D,0.0061,1,FULLIVOPLUS,1
16/9/25 13:30,J13L05,0.1215,50,"45X TETRAMORIUM, 1X S-DIVER","1X Z-BUD, 2X FULLIVOPLUS"
16/9/25 13:31,J13L04D,0,0,,
16/9/25 13:32,J13L03,0,0,,
16/9/25 13:33,J13L02D,0,0,,
16/9/25 13:35,J13L01,0,0,,
16/9/25 15:01,L15L10D,0,0,,
16/9/25 15:02,L15L09,0.0025,1,SAME AS L17L08,1
16/9/25 15:03,L15L08D,0.0045,3,2X TETRAMORIUMS,1 PODODUS
16/9/25 15:04,L15L07,0.0108,5,"2X TETRO, 2X SPIDER",1X PODODUS
16/9/25 15:06,L15L06D,0,0,,
16/9/25 15:07,L15L05,0.0826,3,2X S-DIVER,1X Z-B
16/9/25 15:08,L15L04D,0.0709,3,"SAME AS 1X Z-CAP, 2X L18L08",3
16/9/25 15:09,L15L03,0.0352,3,"1X Z-KAL, 2X SANDDIVER KEPT",1
16/9/25 15:11,L15L02D,0.0078,3,"1X GRASSHOPPER, 2X S-DIVER",ETH
16/9/25 15:12,L15L01,0,0,,
16/9/25 15:30,L17L10D,0,0,,
16/9/25 15:31,L17L09,0.0219,1,,1X PODODUS
16/9/25 15:32,L17L08D,94,1,STINK BUG,1
16/9/25 15:33,L17L07,0,0,,
16/9/25 15:34,L17L06D,0.1037,7,"2X ANTLION, 2X SPIDER, 2X ANTS",1X OCYMYRMEX
16/9/25 15:35,L17L05,0,0,,
16/9/25 15:37,L17L04D,0.0095,1,SAME AS L17L08,1
16/9/25 15:38,L17L03,1.4141,1,SOLI,ETH
16/9/25 15:39,L17L02D,0.0287,6,3X TETR/ KEPT,"2X SAME/L17L08, 1X H-ROD"
16/9/25 15:40,L17L01,0.0109,2,1X MEDIT. SEED,1X FULLIV
16/9/25 16:02,O18L10D,0,0,,
16/9/25 16:03,O18L09,0,0,,
16/9/25 16:04,O18L08D,0.0035,1,H-ROD,1
16/9/25 16:05,O18L07,0.0205,2,MATA BETA-B,2
16/9/25 16:07,O18L06D,0,0,,
16/9/25 16:08,O18L05,0,0,,
16/9/25 16:10,O18L04D,0.0124,2,,"1X OCYMYRMEX, 1X MATA-BUD"
16/9/25 16:11,O18L03,0,0,,0
16/9/25 16:12,O18L02D,0.0159,5,3X TETR,"PODODUS, 2X STINK BUG"
16/9/25 16:13,O18L01,0.0478,5,1X ANTLION FREEZE,"1X FULLIV, 2X PODOUS, 1X MATA-B"
16/9/25 16:53,J15L10D,0.0304,1,Z-CAP,1
16/9/25 16:54,J15L09,0,0,,
16/9/25 16:55,J15L08D,0,0,,
16/9/25 16:57,J15L07,0,0,,
16/9/25 16:58,J15L06D,0.1003,3,1X ANTLION,1X OCYMYRMEX
16/9/25 16:59,J15L05,0.0062,1,GRASSHOPPER,
16/9/25 17:00,J15L04D,0.0557,4,"1X SPIDER BEETLE, 1X STINK BUG",1X CRYPTOCHILO ASSIMILIS
16/9/25 17:01,J15L03,0.0039,1,SAND-DIVER,ETH
16/9/25 17:02,J15L02D,0.0346,3,1X CRYPTOCHILE,1X PODODUS
16/9/25 17:03,J15L01,0.0135,4,2X TETR,2X PODODUS
16/9/25 17:22,J13L10D,0,0,,
16/9/25 17:23,J13L09,0.001,2,TETRAMORIUMS,
16/9/25 17:24,J13L08D,0,0,,
16/9/25 17:25,J13L07,143,1,FULLIVOPLUS,1
16/9/25 17:26,J13L06D,0.028,3,SAME/ J13L06,FULLIV. 3
16/9/25 17:27,J13L05,0,0,,
16/9/25 17:33,J13L01,0,0,,
16/9/25 17:30,J13L03,0.0173,5,"1X FULLIVO, 2X S-DIVERS",1
16/9/25 17:31,J13L02D,0.0554,3,"1X FULLIVO, 1X Z-B",2
16/9/25 17:29,J13L04D,0.1042,3,"STINK BUG, L-STRIP ZOPHX2",2
16/9/25 19:00,L15L10D,0,0,,
16/9/25 19:01,L15L09,0.0094,1,PODODUS,1
16/9/25 19:02,L15L08D,0.0121,15,SAME AS ABOVE,1X TENE LARVAE
16/9/25 19:03,L15L07,0.0017,2,2X TERMO,
16/9/25 19:06,L15L06D,0.0098,1,SAME AS L15L09,1
16/9/25 19:07,L15L05,0,0,,
16/9/25 19:07,L15L04D,0.0254,5,2X CRYPT,"1X CHESTNUT, 2X TERMO"
16/9/25 19:09,L15L03,0.0066,3,PODODUS,ETH
16/9/25 19:10,L15L02D,0,0,,
16/9/25 19:11,L15L01,0,0,,
16/9/25 19:30,L17L10D,0,0,,
16/9/25 19:31,L17L09,0.0117,1,SAME AS L17L08-L05,ETH
16/9/25 19:33,L17L08D,0.0374,2,"1X SAME AS L17L08, 1X TETRAMORIUM/KEPT",1
16/9/25 19:34,L17L07,0,0,,
16/9/25 19:35,L17L06D,0,0,,
16/9/25 19:36,L17L05,0.0057,1,SAME AS ABOVE L17L09,ETH
16/9/25 19:38,L17L04D,0.0114,3,1X TENE,2X CHESTNUTS
16/9/25 19:39,L17L03,0,0,,
16/9/25 19:40,L17L02D,0,0,,
16/9/25 19:41,L17L01,0,0,,
16/9/25 20:05,O18L10D,0.0101,1,SAME AS O18L02,1
16/9/25 20:06,O18L09,0,0,,
16/9/25 20:07,O18L08D,0,0,,
16/9/25 20:09,O18L07,0,0,,
16/9/25 20:11,O18L06D,0.4118,1,SOLI,
16/9/25 20:12,O18L05,0.1513,5,"2X SPIDER, 2X ANTLION",1X TENE LARVAE
16/9/25 20:13,O18L04D,0,0,,
16/9/25 20:14,O18L03,0.0018,3,SAME AS L17L05,
16/9/25 20:15,O18L02D,0.0064,1,SPIDER,ETH
16/9/25 20:16,O18L01,0.003,1,SAME AS L17L09,ETH
16/9/25 20:53,J15L10D,0,0,,
16/9/25 20:54,J15L09,0,0,,
16/9/25 20:55,J15L08D,0,0,,
16/9/25 20:56,J15L07,0,0,,
16/9/25 20:57,J15L06D,0.5308,1,OMORAUS ASPERULATUS,FREEZE
16/9/25 20:59,J15L05,0,0,,
16/9/25 21:00,J15L04D,0.0013,1,SAME AS L15L09,1
16/9/25 21:01,J15L03,0.001,1,SAME AS L15L09,1
16/9/25 21:02,J15L02D,0.0077,1,KEPT,SUGAR ANT
16/9/25 21:03,J15L01,0.0024,1,SAME AS J13L01,1
16/9/25 21:19,J13L10D,0,0,,
16/9/25 21:20,J13L09,0.002,2,"1X TETRAMORIUM, 1X LARVAE",KEPT
16/9/25 21:21,J13L08D,0,0,,
16/9/25 21:23,J13L07,0,0,,
16/9/25 21:24,J13L06D,0.023,1,SAME AS J13L07,1
16/9/25 21:25,J15L05,0.0004,2,SAME AS J13L09,
16/9/25 21:26,J15L04D,0,0,,
16/9/25 21:28,J15L03,0.0016,2,SAME AS O18L03,
16/9/25 21:29,J13L02D,0.0085,1,TENE. LARVAE,FREEZE
16/9/25 21:30,J13L01,0.0045,2,PODODUS,2
17/9/25 07:00,L15L10D,0.0193,3,2X SPIDER,1X SUGAR ANT
17/9/25 07:02,L15L09,0.0015,2,1X TETRAMORIUM,1X TENEBRIONIDAE LARVAE
17/9/25 07:03,L15L08D,0,0,,
17/9/25 07:04,L15L07,0,0,,
17/9/25 07:06,L15L06D,0.8633,1,BARK-GNAWING BEETLE,ETH
17/9/25 07:08,L15L05,0.0043,2,,1X SUGAR ANT
17/9/25 07:09,L15L04D,0.0092,1,SPIDER,ETH
17/9/25 07:10,L15L03,0.0003,1,LARVAE,1
17/9/25 07:12,L15L02D,0.0094,4,"1X TETRAMORIUM, 1X WEEVIL, 1X GRASSHOPPER",
17/9/25 07:13,L15L01,0,0,,
17/9/25 07:34,L17L10D,0,0,,
17/9/25 07:35,L17L09,0.29,1,SAME AS J13L04,ETH
17/9/25 07:36,L17L08D,0,0,,
17/9/25 07:37,L17L07,0,0,,
17/9/25 07:38,L17L06D,0,0,,
17/9/25 07:40,L17L05,0.0002,1,SAME AS J13L05,
17/9/25 07:42,L17L04D,0,0,,
17/9/25 07:43,L17L03,0.0025,1,,
17/9/25 07:45,L17L02D,0.0814,4,"2X WEEVIL, 1X MEDITERRANEAN BEETLE",1X PODODUS
17/9/25 07:46,L17L01,0.005,1,TENE. LARVAE,ETH
17/9/25 08:10,O18L10D,0,0,,
17/9/25 08:11,O18L09,0.0058,1,SPIDER,
17/9/25 08:12,O18L08D,0,0,,
17/9/25 08:13,O18L07,0.01,1,SPIDER,ETH
17/9/25 08:15,O18L06D,0.0136,4,"SAME AS ABOVE, 2X SPIDER",1X SUGAR ANT
17/9/25 08:16,O18L05,0,0,,
17/9/25 08:18,O18L04D,0,0,,
17/9/25 08:19,O18L03,0.0048,1,SAME AS J13L06,1 FULLIVOPLUS
17/9/25 08:21,O18L02D,0.019,2,MATA-B,2
17/9/25 08:22,O18L01,0,0,,
17/9/25 08:59,J15L10D,0.0075,1,SPIDER,
17/9/25 09:00,J15L09,0,0,,
17/9/25 09:01,J15L08D,0,0,,
17/9/25 09:02,J15L07,0,0,,
17/9/25 09:03,J15L06D,0,0,,
17/9/25 09:04,J15L05,0,0,,
17/9/25 09:05,J15L04D,0,0,,
17/9/25 09:08,J15L03,0,0,,
17/9/25 09:10,J15L02D,0.0036,1,SPIDER,ETH
17/9/25 09:11,J15L01,0.0664,3,"SAME AS J15L10-L17L08, Z CP",2
17/9/25 09:26,J13L10D,0.0034,7,"6X TETRAMORIUM, 1X SUGAR ANT",1
17/9/25 09:27,J13L09,0.0414,1,SCORPION,ETH
17/9/25 09:29,J13L08D,0.0515,3,2X WEEVIL,1X SUGAR ANT
17/9/25 09:31,J13L07,0.0004,3,SAME AS J13L09,
17/9/25 09:32,J13L06D,0.0067,2,"1X TETRO, 1X FULLIVOPLUS",1
17/9/25 09:33,J13L05,0.0478,1,SAME AS J13L03,1
17/9/25 09:34,J13L04D,0.0644,1,LIKE A LIKE PISS-OE-BLACK,ETH
17/9/25 09:36,J13L03,0.0776,1,STIPS-D,1X STIPS-D
17/9/25 09:38,J13L02D,0.0255,3,2X SPIDER,1X PODODUS
17/9/25 09:39,J13L01,0.0101,2,"1X TETRAMORIUM KEPT, SAME AS J13L06",1
,,,,,
