Time Stamp,Location,Weight,Biomass,COMMENTS,,,
8/12/25 20:03,J13L07,0.1673,3,"2X GRAPH AMA, 1X GRAPH* MARG",,,
8/12/25 11:20,J13L07,0.0094,1,1X CAMP FULV,,,
9/12/25 07:06,J13L07,0,1,ANTH CINC,,,
9/12/25 07:04,J13L08 D,0.0173,2,"1X BLOSSIA, 1X TETRA SOLI",,,
8/12/25 20:02,J13L08 D,0.0034,3,3X OCY BARB,,,
8/12/25 11:19,J13L08 D,0.1537,18,"13X TETRA SOLI, 2X SCARABAEO DAMA, 2X KURTOPS SIG, 1X MUTILI* GYNANDROTILLA",,,
8/12/25 15:39,J13L08 D,0,0,,,,
8/12/25 11:17,J13L09,0.0119,2,"1X REDUVIID * ACANTHASPIS, 1X LEPISIO CAP",,,
8/12/25 20:00,J13L09,0.0713,2,"1X HERP GRAC, 1X ZO SUB",,,
8/12/25 15:37,J13L09,0,0,,,,
9/12/25 07:02,J13L09,0,0,,,,
8/12/25 15:35,J13L10 D,0.0044,1,1X OCY BARB,,,
8/12/25 11:15,J13L10 D,0.0194,2,"1X MUTILI* GYNANDROTILLA, 1X CAMP FULV",,,
9/12/25 07:00,J13L10 D,0.6655,5,"2X SCARABAEO FLAVI, 1X BOEO EP, 1X ATRACT MULS, 1X ZODARIID",,,
8/12/25 19:59,J13L10 D,0.8584,10,"5X SCARABAEO FLAVI, 2X DIP* SCAVANGE FLIES, 2X PHEDIO TENUE, 1X INSECT UKNOWN SAMPLED",,,
8/12/25 23:59,J15L01,0.0471,5,"2X CAM FULV, 1X OCY BARB, 1X ANAP STEIN, 1X CTENOL LAT",,,
8/12/25 18:52,J15L01,0.1167,2,2X ZO SUB,,,
8/12/25 14:58,J15L01,0,0,,,,
9/12/25 11:17,J15L01,0,0,,,,
9/12/25 11:15,J15L02 D,0.0767,2,2X ZO SUBC,,,
8/12/25 18:50,J15L02 D,0.2022,4,"1X WEEVIL *NEW WHITE, 3X ZO SUB",,,
8/12/25 23:57,J15L02 D,0.0495,13,"7X ANOP STIN, 4X CAMP MAC, 1X OCY BARB, 1X TENED",,,
8/12/25 14:56,J15L02 D,0,0,,,,
8/12/25 23:56,J15L03,0.5462,5,"1X P. RAUD**JUV, 3X CMP MAC, 1X CHELYP",,,
9/12/25 11:13,J15L03,0.0746,41,"4X CAMP FULV, 37X ANOP STEIN",,,
8/12/25 14:54,J15L03,0.0004,1,1X OCY BARB,,,
8/12/25 18:48,J15L03,0.0058,1,1X CAM FULV,,,
9/12/25 11:11,J15L04 D,0.0347,5,"1X MINIUL WEEVIL, 2X CAMP FULV, 1X OCY BARB, 1X CAMP MAC",,,
8/12/25 18:46,J15L04 D,0.285,9,"5X ZO SUB, 2X ZO ARC, 1X CAM FULV",,,
8/12/25 23:54,J15L04 D,0.0019,1,1X OCY BARB,,,
8/12/25 14:52,J15L04 D,0,0,,,,
9/12/25 11:09,J15L05,0.0634,3,"1X CURC, 1X ZO ARC, 1X ZO SUB",,,
8/12/25 14:50,J15L05,0.0163,1,1X BEE,,,
8/12/25 18:44,J15L05,0,0,,,,
8/12/25 14:50,J15L05,0,0,Real bucket number 5 (L06 has the wrong label),,,
8/12/25 23:51,J15L05,0,0,,,,
9/12/25 11:04,J15L06 D,0.0245,2,"1X ZODARIID, 1X IBALA BILEAN",,,
8/12/25 23:50,J15L06 D,0.0581,4,"2X BOE EP, 1X ZO SUB, 1X OCY BARB",,,
8/12/25 14:42,J15L06 D,0.0325,10,"2X ZO ARC, 2X LYGAEID* THINK ALL THE RED ONES MIGHT BE THIS, 4X OCY BARB, 2X CAMP MAC",,,
8/12/25 23:48,J15L07,0.3089,4,"1X CHRYSOME AS OTHERS, 2X OCY BARB, 1X P KUAN",,,
9/12/25 11:05,J15L07,0.0734,3,"1X ZO ARC, 2X ZO KAL",,,
8/12/25 18:40,J15L07,0.0255,1,1X ZO *KAL,,,
8/12/25 14:46,J15L07,0.0004,1,1X OCY BARB,,,
9/12/25 11:03,J15L08 D,0.0494,2,"1X ZO SUB* TO BE CHECKED, 1X HEMIP, POOR CONDITION NO ID",,,
8/12/25 23:47,J15L08 D,0.0007,1,1X ACRID* NYMPH PPOOR CONDITION NO ID,,,
8/12/25 18:38,J15L08 D,0.1021,4,4X ZO KAL,,,
8/12/25 14:44,J15L08 D,0,0,,,,
9/12/25 11:01,J15L09,0.0222,1,1X ZOPHOSIS *NEW POSSIBLE,,,
8/12/25 18:35,J15L09,0.0018,1,1X IBALA,,,
8/12/25 14:42,J15L09,0,0,,,,
8/12/25 23:45,J15L09,0,0,,,,
9/12/25 10:59,J15L10 D,1.7561,2,"1X ANTHIA CINC, 1X ZO KAL",,,
8/12/25 18:33,J15L10 D,0.0315,1,1X ZOPHOSIS *NEW POSSIBLE,,,
8/12/25 23:44,J15L10 D,0.0017,1,1X CLOTH MOTH,,,
8/12/25 14:40,J15L10 D,0,0,,,,
9/12/25 10:27,K18L01,0.0131,4,"2X SMALL MYRMICIN, 1X ASEMETHES, 1X OCY BARB",,,
8/12/25 14:18,K18L01,0,0,,,,
8/12/25 00:00,K18L01,0,0,,,,
8/12/25 00:00,K18L01,0,0,,,,
8/12/25 00:00,K18L02 D,0.0457,10,"1X ZO KAL, 9X OCY BARB",,,
9/12/25 10:25,K18L02 D,34.7353,2,"1X ANTH CINC, 1X SPIRO",,,
8/12/25 23:12,K18L02 D,0.0443,3,"1X IBALA, 1X ASYM LINE, 1X BLATT GERM",,,
8/12/25 14:16,K18L02 D,0,0,,,,
8/12/25 23:10,K18L03,0.0389,3,"1X BOEO EP, 1X CAMP MAC, 1X TETRA SOLI",,,
8/12/25 00:00,K18L03,0.0501,9,"1X ANOP STEIN, 3X CAMP FULV, 5X OCY BARB",,,
8/12/25 14:14,K18L03,0.0016,1,1X OCY BARB,,,
9/12/25 10:22,K18L03,0,0,,,,
8/12/25 00:00,K18L04 D,0.1543,9,"5X OCY BARB, 1X PHEDIO TENUI, 2X MUTILI* GYNANDROTILLA, 1X ORTHO* NYMPH",,,
8/12/25 14:12,K18L04 D,0.0176,11,11X OCY BARB,,,
8/12/25 23:08,K18L04 D,0,0,,,,
9/12/25 10:22,K18L04 D,0,0,,,,
8/12/25 23:05,K18L05,0.2045,4,"1X RHAMP *AS ABOVE, 2X BOEO EP, 1X OCY BARB",,,
9/12/25 10:20,K18L05,0.7593,2,"1X OMOR RUST, 1X IBALA OKO",,,
8/12/25 14:10,K18L05,0.0106,4,"3X OCY BARB, 1X IBALA",,,
8/12/25 00:00,K18L05,0.9915,4,"1X ANTH CINC, 1X HERP GRASI, 2X OCY BARB",,,
8/12/25 00:00,K18L06 D,0.0027,1,1X OCY BARB,,,
8/12/25 14:08,K18L06 D,0.0202,2,"1X OCY BARB, 1X CAMP FULV",,,
8/12/25 23:04,K18L06 D,14.5605,2,"1X ANTH CINC, 1X SPIRO",,,
9/12/25 10:18,K18L06 D,0.064,7,"1X TINY SPIDER, 1X IBALA OKO, 1X CAMP MAC, 1X OCY BARB, 1X TETRA SOLI, 1X ANOP STEIN, 1X SCARAB ONTH OR PHALOPS CONFIRM",,,
8/12/25 23:03,K18L07,1.6105,7,"1X ODO, 2X RHADOP SAME AS PREVIOUS*, 1X OCY BARB, 1X MEGA ANA, 2X BOEO EP",,,
8/12/25 00:00,K18L07,0.0111,4,"3X OCY BARB, 1X MONO ESHAR",,,
8/12/25 14:06,K18L07,0.0015,1,1X IBALA OKO,,,
9/12/25 10:16,K18L07,0,0,,,,
8/12/25 00:00,K18L08 D,0.0642,5,"3X CAMP FULV, 2X OCY BARB",,,
8/12/25 14:04,K18L08 D,0.0018,1,1X OCY BARB,,,
9/12/25 10:14,K18L08 D,0,0,,,,
8/12/25 23:01,K18L08 D,0,0,,,,
8/12/25 00:00,K18L09,0.0666,12,"2X CAMP FULV, 1X ZO KAL, 9X OCY BARB",,,
9/12/25 10:12,K18L09,0.1812,7,"1X BRADY, 1X ZO SUB, 1X BOEO EP, 1X GRAPH MARG, 1X IBALA OKO, 1X OCY BARB, 1X TETRA GRASII",,,
8/12/25 14:02,K18L09,0.0579,19,"3X ZO ARC, 2X BRAD, 14X OCY BARB",,,
8/12/25 22:59,K18L09,5.3396,3,"2X P. RAUD, 1X EPIPHYSA FLAVI",,,
9/12/25 10:10,K18L10 D,1.6341,3,"1X ODO, 1X ODO *JUV, 1X BRADY CEPH",,,
8/12/25 17:50,K18L10 D,0.0314,6,"1X ZONO ELEG*NYMPH, 3X OCY BARB, 1X ZO ARC, 1X IBALA*NOT GOOD FOR SPECIE ID",,,
8/12/25 22:57,K18L10 D,1.898,2,"1X ODO, 1X BOEO ATRA",,,
8/12/25 14:00,K18L10 D,0,0,,,,
8/12/25 21:11,P15L01,1.947,1,1X P. RAUD,,,
8/12/25 12:28,P15L01,1.2245,3,"1X ANT CINC, 1X OCY BARB, 1X PHEDIOL CAP",,,
8/12/25 16:43,P15L01,0.0052,4,4X OCY BARB,,,
9/12/25 08:22,P15L01,39.1843,6,"1X ODO, 1X SPIRO, 1X SPIRO JUV, 1X SPIDER BLACK DECORATIVE ABDOMEN, 1X PARABUTHUS JUV",,,
9/12/25 08:20,P15L02 D,0.0953,32,"1X JUV SPIRO, 1X MEGA ANA, 1X BOEO EP, 29X ANOP STEIN",,,
8/12/25 12:26,P15L02 D,0.0574,3,"2X MEGA ANA, 1X ZO KAL",,,
8/12/25 16:41,P15L02 D,0.0047,2,"1X OCY BARB, 1X UNKNOWN FORMICID",,,
8/12/25 21:09,P15L02 D,0,0,,,,
9/12/25 08:18,P15L03,0.4126,6,"5X CAMP MAC, 1X PEUCETIA",,,
8/12/25 21:08,P15L03,0.0659,9,"1X ZO SUB, 7X TETRA SOLI, 1X AMARIL",,,
8/12/25 12:24,P15L03,0.0158,4,"3X TETRA SOLID, 1X MUTILI*RED HEAD/THOR SINGLE WHITE MID ABDOMEN THEN MORE TIP",,,
8/12/25 16:39,P15L03,0.1564,8,"1X MEGA ANA, 1X ZO KAL, 1X OCY BARB, 5X TETRA SOLI",,,
9/12/25 08:16,P15L04 D,0.4672,5,"1X ANTHIA LARVA, 1X CIMICHOR*NEW POSSIBLE, 3X TETRA SOLI",,,
8/12/25 21:04,P15L04 D,0.0115,4,"1X OCY BARB, 1X ZO ARC, 1X HISTER, 1X TETRA SOLI",,,
8/12/25 12:22,P15L04 D,0.0232,10,"1X MEGA ANA, 1X ZO ARC, 1X MUTIL*SAME AS ABOVE WITH BNDS BUT GOLDEN PSEUDOPHOTOPSIS, 2X OCY BRB, 2X TETRA SERVI, 3X TETRA SOLID",,,
8/12/25 16:37,P15L04 D,0.0827,5,"1X AMMOX, 1X ZO SUB, 1X ZO ARC, 2X TETRA",,,
9/12/25 08:14,P15L05,0.0218,1,1X MEGA ANA,,,
8/12/25 21:03,P15L05,0.0084,2,"1X COLEOP *?, 1X TETRA SOLID",,,
8/12/25 00:00,P15L05,0.0001,1,1X TETRA SOLI,,,
8/12/25 12:20,P15L05,0.1491,11,"6X OCY BARB, 1X WEEVIL, 2X TETRA SOLI, 1X IBALA BIL, 1X ASOMETH",,,
8/12/25 21:01,P15L06 D,0.0148,1,1X HERP GRAC,,,
9/12/25 08:12,P15L06 D,0.0217,4,"2X CAM MAC, 1X CENTI, 1X ANOP STEIN",,,
8/12/25 16:34,P15L06 D,0.0736,2,"1X ZO KAL, 1X WEEVIL",,,
8/12/25 12:18,P15L06 D,0.0383,7,"1X MUTILI* 4 SPOTS IN A LINE ON ABDOMEN, 1X MEGA ANA, 1X OCY BARB, 4X TETRA SOLI",,,
8/12/25 21:00,P15L07,0.1952,4,"1X ZODARID *SIMILAR TO DIORES, 1X ZODARIID*POSSIBLY DIFFERENT, 1X CAEDIUS LIKE TEN, 1X TETRA SOLID",,,
9/12/25 08:10,P15L07,0.0836,2,"1X VELVET ANT* BROWN ONE SAMPLED MULTIPLE TIMES, 1X BOEO EP",,,
8/12/25 12:16,P15L07,0.0335,11,"1X MUTILI* DISTINCTIVE STRIPES ON ABDOMEN, 1X KAEEI* TENE, 8X ANOP STIN, 1X KURTOPS SIG",,,
8/12/25 16:31,P15L07,0.0129,2,"1X OCY BARB, 1X MUTILI* GYNANDROTILLA",,,
9/12/25 08:08,P15L08 D,1.9312,3,"1X ODO, 1X BOEO EP, 1X CAMP MAC",,,
8/12/25 12:14,P15L08 D,0.002,2,2X TETRA SOLI,,,
8/12/25 16:27,P15L08 D,0.0643,8,"1X PEUCET, 1X OCY BARB, 6X TETRA SOLI",,,
8/12/25 20:58,P15L08 D,0.1564,9,"1X PEUCET, 1X MEGA ANA, 2X CAMP MAC, 1X UNKNOWN SPIDER, 4X TETRA SOLI",,,
8/12/25 20:57,P15L09,0.0187,1,1X CAMP MAC,,,
8/12/25 12:12,P15L09,0.0098,5,"4X OCY BARB, 1X MUTILI* SAME AS ABOVE GOLDEN STRIPES",,,
8/12/25 16:27,P15L09,0.0079,6,"3X ANOP STEIN, 1X OCY BARB, 1X IBALA BILEA* POOR CONDITION, 1X ZO ARCANA",,,
9/12/25 08:06,P15L09,0,1,ANTH CINC,,,
8/12/25 20:55,P15L10 D,1.8431,1,1X P. RAUD,,,
9/12/25 08:05,P15L10 D,0.2062,6,"1X BOEO EP, 1X BOEO ATR, 2X SPIRO JUV, 2X MEGA AN",,,
8/12/25 16:25,P15L10 D,0.0024,3,"1X OCY BARB, 2X TETRA SOLI",,,
8/12/25 12:10,P15L10 D,0.0019,2,2X OCY BARB,,,
8/12/25 22:22,Q17L01,6.5473,3,"2X ODONTO, 1X PAR RAUD",,,
8/12/25 17:26,Q17L01,0.0334,10,"1X MEGA ANA, 5X OCY BARB, 4X TETRA SOLI",,,
8/12/25 13:23,Q17L01,0.146,3,"1X MEGA ANA, 1X GRAPH AMA, 1X ZO SUB",,,
9/12/25 09:28,Q17L01,35.6587,11,"1X ANTH LARVA, 1X BOEO CON,  1X ODO, 1X SPIRO, 4X MEGA ANA, 1X CAMP FULV",,,
9/12/25 09:26,Q17L02 D,1.6901,3,"1X ODO, 1X MEGA ANA, 1X GONOG ",,,
8/12/25 22:20,Q17L02 D,1.7796,2,"1X ODO, 1X MEGA ANA",,,
8/12/25 13:21,Q17L02 D,0.0955,3,"2X ZO SUB, 1X TETRA SOLI",,,
8/12/25 17:24,Q17L02 D,0.0241,1,1X ZO KAL,,,
9/12/25 09:24,Q17L03,2.0254,3,"1X ODO, 1X REDUVIID *TYPE OF ECTRICHODIA NYMPH, 1X MEGA ANA",,,
8/12/25 22:18,Q17L03,0.1313,3,"1X BOEO *ATRA, 1X ZO SUB, 1X CAM MAC",,,
8/12/25 13:19,Q17L03,0.1376,2,"1X ZO KAL, 1X CAM FULV",,,
8/12/25 17:22,Q17L03,0,0,,,,
8/12/25 22:16,Q17L04 D,0.0293,1,1X CAMP MAC,,,
9/12/25 09:22,Q17L04 D,0.0238,1,1X MEGA ANA,,,
8/12/25 13:17,Q17L04 D,0,0,,,,
8/12/25 17:20,Q17L04 D,0,0,,,,
8/12/25 22:14,Q17L05,0.1554,1,1X JUV P GRAN/KAL,,,
8/12/25 13:14,Q17L05,0.1586,6,"2X ZO SUB, 1X ZO KAL, 1X GRAPH AMA, 1X MEGA ANA, 1X ZO ARC",,,
8/12/25 17:18,Q17L05,0.0352,1,1X GRAPH AMA,,,
9/12/25 09:20,Q17L05,0.1327,5,"3X MEGA ANA, 1X ZO SUB, 1X SPIDER",,,
9/12/25 09:19,Q17L06 D,2.117,3,"1X RHADOP *BUG, 1X HEMIP *NEW SMALL BLACK ROBUST LOOKING REDUVIID, 1X ODO",,,
8/12/25 17:16,Q17L06 D,0.1684,5,"3X ZO SUB, 2X CAMP FULV",,,
8/12/25 13:12,Q17L06 D,0.0786,2,"1X MEGA ANA, 1X ZO SUB",,,
8/12/25 22:12,Q17L06 D,0,0,,,,
8/12/25 22:10,Q17L07,1.9244,2,"1X ODO, 1X CAMP FULV",,,
9/12/25 09:17,Q17L07,0.2493,4,"3X MEGA ANA, 1X CURCU * SPARTA",,,
8/12/25 13:10,Q17L07,0.2295,5,"3X GRAPH AMA, 1X ZO KAL, 1X OCY BARB",,,
8/12/25 17:14,Q17L07,0.1819,5,"4X ZO SUB, 1X HISTIDA* SAME AS PREVIOUS CAUGHT",,,
8/12/25 22:09,Q17L08 D,0.098,3,"1X ZO SUB, 1X TETRA SOLI, 1X CERAMBY",,,
8/12/25 13:09,Q17L08 D,0.1002,4,"1X PSEUDOSCORP, 1X ZO KAL, 2X GRAPHIP AMA",,,
8/12/25 17:12,Q17L08 D,0.0177,27,"1X ZO ARC, 1X TENED, 2X TETRA SOLI, 23X PHEDIO TENUE",,,
9/12/25 09:15,Q17L08 D,0,0,,,,
9/12/25 09:12,Q17L09,1.9874,5,"1X ODO, 1X CAM FULV, 2X MEGA ANA, 1X ASEMETH",,,
8/12/25 13:07,Q17L09,0.0738,5,"2X CAMP FULV, 2X ANOP STEIN, 1X ZO SUB",,,
8/12/25 17:10,Q17L09,0.0995,4,"1X CAMP FULV, 1X GRAPH AMA, 1X PENTA AS PREVIOUSLY, 1X PHEDIO TENUE",,,
8/12/25 22:08,Q17L09,4.8573,5,"3X ANTH CINC, 1X SYPHO ALST",,,
9/12/25 09:10,Q17L10 D,0.0723,2,"1X ZO *KAL, 1X BOEO EP",,,
8/12/25 17:08,Q17L10 D,0.0536,3,"2X ZO ARC, 1X ZO SUB",,,
8/12/25 13:05,Q17L10 D,0.1859,18,"2X IBALA* POOR CONDITION, 1X CAMP FULV, 1X GRAPH AMA, 1X ZO SUB, 5X ANOP STEIN, 8X OCY BARB",,,
8/12/25 22:06,Q17L10 D,0,0,,,,
